Time	Position	Velocity	Acceleration	Position	Velocity	Acceleration
0.00	0.234	-0.083	0.056	0.218	0.137	-2.679
0.02	0.232	-0.082	0.017	0.223	0.049	-0.718
0.04	0.230	-0.081	-0.042	0.217	0.067	1.418
0.06	0.229	-0.086	-0.011	0.223	0.173	0.878
0.08	0.227	-0.084	0.114	0.228	0.116	-0.357
0.10	0.225	-0.078	0.095	0.226	0.115	0.005
0.12	0.224	-0.079	0.028	0.232	0.139	-0.456
0.14	0.222	-0.078	0.001	0.234	0.096	-0.720
0.16	0.221	-0.077	-0.071	0.235	0.090	-0.223
0.18	0.219	-0.084	0.012	0.237	0.096	-0.072
0.20	0.217	-0.080	0.198	0.239	0.095	-0.192
0.22	0.216	-0.072	0.193	0.241	0.086	-0.275
0.24	0.214	-0.069	0.066	0.243	0.077	-0.101
0.26	0.213	-0.069	-0.064	0.244	0.084	-0.008
0.28	0.212	-0.076	0.006	0.246	0.082	-0.117
0.30	0.210	-0.073	0.268	0.247	0.079	-0.190
0.32	0.209	-0.062	0.381	0.249	0.072	-0.192
0.34	0.208	-0.053	0.282	0.250	0.066	-0.052
0.36	0.207	-0.049	0.099	0.251	0.079	-0.240
0.38	0.206	-0.050	-0.038	0.254	0.068	-0.807
0.40	0.205	-0.055	0.046	0.255	0.019	-0.313
0.42	0.203	-0.052	0.290	0.252	0.050	0.423
0.44	0.203	-0.040	0.395	0.257	0.082	-0.709
0.46	0.202	-0.032	0.305	0.258	-0.001	-0.958
0.48	0.201	-0.027	0.151	0.255	0.023	-0.356
0.50	0.201	-0.027	0.053	0.260	0.000	-0.336
0.52	0.200	-0.028	0.101	0.254	0.010	-0.145
0.54	0.199	-0.025	0.264	0.261	-0.004	0.013
0.56	0.199	-0.015	0.329	0.255	-0.039	2.031
0.58	0.199	-0.008	0.212	0.255	0.115	2.265
0.60	0.199	-0.009	0.149	0.262	0.127	-0.721
0.62	0.198	-0.003	0.128	0.263	0.042	-2.012
0.64	0.199	-0.002	0.100	0.262	0.011	-1.755
0.66	0.198	-0.004	0.298	0.263	-0.015	-1.555
0.68	0.198	0.009	0.504	0.262	-0.050	-1.219
0.70	0.199	0.022	0.426	0.261	-0.100	0.366
0.72	0.199	0.029	0.185	0.255	-0.022	1.352
0.74	0.200	0.027	0.055	0.261	0.028	-0.597
0.76	0.200	0.026	0.171	0.261	-0.103	-0.350
0.78	0.201	0.034	0.299	0.252	-0.032	1.621
0.80	0.202	0.041	0.282	0.259	0.048	0.135
0.82	0.203	0.046	0.182	0.258	-0.027	-1.429
0.84	0.204	0.049	0.069	0.256	-0.050	-1.368
0.86	0.205	0.048	0.043	0.256	-0.078	-1.111
0.88	0.206	0.047	0.172	0.254	-0.120	0.297
0.90	0.206	0.055	0.281	0.249	-0.061	1.325
0.92	0.208	0.062	0.242	0.252	-0.022	0.383
0.94	0.209	0.065	0.164	0.250	-0.050	-0.552
0.96	0.210	0.068	0.084	0.249	-0.057	-0.930
0.98	0.212	0.070	-0.057	0.248	-0.088	-0.992
1.00	0.213	0.066	-0.197	0.246	-0.121	0.001
1.02	0.214	0.061	-0.223	0.241	-0.086	0.849
1.04	0.216	0.055	-0.065	0.243	-0.050	0.124
1.06	0.217	0.043	0.681	0.241	-0.087	-0.457
1.08	0.216	0.088	1.074	0.238	-0.089	-0.265
1.10	0.221	0.116	0.182	0.237	-0.084	-0.535
1.12	0.222	0.086	-0.381	0.236	-0.104	-0.906
1.14	0.223	0.082	-0.185	0.234	-0.149	-0.144
1.16	0.225	0.085	-0.107	0.228	-0.117	0.893
1.18	0.227	0.082	-0.152	0.229	-0.067	0.119
1.20	0.229	0.074	-0.039	0.228	-0.120	-0.399
1.22	0.230	0.080	0.103	0.223	-0.128	0.826
1.24	0.232	0.084	-0.005	0.221	-0.058	0.950
1.26	0.233	0.078	-0.059	0.222	-0.070	0.195
1.28	0.235	0.080	-0.043	0.218	-0.073	0.187
1.30	0.236	0.078	-0.087	0.219	-0.048	-0.320
1.32	0.238	0.076	-0.148	0.217	-0.087	-0.602
