Time	Position	Velocity	Acceleration	Position	Velocity	Acceleration
0.00	0.267	-0.052	-0.129	0.192	0.046	0.366
0.02	0.266	-0.053	-0.210	0.193	0.052	0.391
0.04	0.265	-0.058	-0.319	0.194	0.065	0.299
0.06	0.264	-0.066	-0.416	0.196	0.068	0.072
0.08	0.262	-0.078	-0.365	0.197	0.061	0.130
0.10	0.260	-0.083	-0.209	0.198	0.071	0.302
0.12	0.259	-0.084	-0.165	0.200	0.078	0.323
0.14	0.257	-0.087	-0.244	0.201	0.081	0.440
0.16	0.255	-0.094	-0.319	0.203	0.096	0.500
0.18	0.253	-0.101	-0.356	0.205	0.106	0.298
0.20	0.251	-0.110	-0.322	0.207	0.108	0.054
0.22	0.249	-0.115	-0.265	0.209	0.109	-0.276
0.24	0.247	-0.115	-0.367	0.211	0.101	-0.746
0.26	0.245	-0.126	-0.521	0.214	0.083	-1.106
0.28	0.242	-0.157	0.162	0.216	0.035	-0.416
0.30	0.237	-0.122	0.884	0.214	0.025	1.939
0.32	0.237	-0.089	0.209	0.214	0.151	2.620
0.34	0.235	-0.117	-0.391	0.223	0.182	0.903
0.36	0.232	-0.122	-0.279	0.222	0.161	0.017
0.38	0.230	-0.126	-0.172	0.228	0.175	-0.500
0.40	0.227	-0.127	-0.099	0.230	0.141	-0.774
0.42	0.224	-0.128	-0.116	0.233	0.133	-0.523
0.44	0.222	-0.133	-0.082	0.235	0.121	-0.287
0.46	0.219	-0.136	0.162	0.238	0.122	-0.081
0.48	0.216	-0.124	0.297	0.240	0.121	-0.071
0.50	0.214	-0.117	0.133	0.243	0.120	-0.110
0.52	0.212	-0.121	0.045	0.245	0.120	-0.260
0.54	0.209	-0.119	0.100	0.248	0.105	-0.195
0.56	0.207	-0.116	0.147	0.249	0.107	0.046
0.58	0.205	-0.112	0.175	0.252	0.116	-0.114
0.60	0.203	-0.110	0.224	0.254	0.105	-0.350
0.62	0.200	-0.104	0.290	0.256	0.096	-0.305
0.64	0.198	-0.095	0.231	0.258	0.089	-0.109
0.66	0.197	-0.093	0.115	0.259	0.095	-0.127
0.68	0.195	-0.097	0.269	0.262	0.096	-0.615
0.70	0.192	-0.083	0.456	0.264	0.072	-1.030
0.72	0.191	-0.073	0.392	0.265	0.022	-0.098
0.74	0.190	-0.068	0.303	0.262	0.060	1.115
0.76	0.189	-0.063	0.287	0.267	0.112	0.370
0.78	0.187	-0.055	0.261	0.269	0.081	-0.743
0.80	0.187	-0.053	0.285	0.270	0.058	-0.848
0.82	0.185	-0.047	0.436	0.271	0.040	-0.556
0.84	0.185	-0.032	0.452	0.271	0.038	-0.315
0.86	0.184	-0.028	0.416	0.273	0.036	-0.434
0.88	0.183	-0.016	0.355	0.273	0.021	-0.592
0.90	0.183	-0.009	0.123	0.273	0.006	-0.485
0.92	0.183	-0.017	0.176	0.273	0.001	-0.298
0.94	0.182	-0.010	0.528	0.274	-0.006	-0.116
0.96	0.182	0.011	0.610	0.273	-0.003	-0.022
0.98	0.183	0.021	0.417	0.273	0.002	-0.337
1.00	0.184	0.024	0.339	0.273	-0.017	-0.600
