Time	Position	Velocity	Acceleration	Position	Velocity	Acceleration
0.00	0.235	0.007	3.251	0.233	0.423	-8.706
0.02	0.233	0.090	2.224	0.244	0.241	-7.453
0.04	0.239	0.109	1.173	0.246	0.044	-4.299
0.06	0.238	0.120	0.778	0.241	0.061	-0.828
0.08	0.243	0.154	-0.172	0.248	0.082	-0.255
0.10	0.245	0.113	-0.965	0.246	0.046	0.157
0.12	0.247	0.094	-0.794	0.248	0.075	0.713
0.14	0.249	0.080	-0.491	0.249	0.104	0.009
0.16	0.250	0.076	-0.196	0.253	0.093	-1.323
0.18	0.252	0.077	-0.181	0.254	0.017	-1.159
0.20	0.253	0.072	-0.320	0.253	0.008	0.660
0.22	0.255	0.063	-0.417	0.252	0.077	1.085
0.24	0.256	0.053	-0.407	0.257	0.092	-0.305
0.26	0.257	0.045	-0.316	0.257	0.048	-1.152
0.28	0.258	0.042	-0.323	0.258	0.025	-1.074
0.30	0.259	0.036	-0.555	0.258	0.004	-0.780
0.32	0.259	0.024	-0.957	0.258	-0.005	-0.580
0.34	0.260	-0.003	-1.160	0.258	-0.010	-0.755
0.36	0.260	-0.040	-0.485	0.258	-0.024	-1.209
0.38	0.258	-0.046	1.097	0.259	-0.098	-0.182
0.40	0.256	0.030	1.412	0.251	-0.036	1.077
0.42	0.260	0.056	-0.339	0.257	0.024	-0.676
0.44	0.260	0.002	-1.537	0.257	-0.126	-0.070
0.46	0.259	-0.031	-1.474	0.246	-0.024	1.993
0.48	0.259	-0.077	-0.405	0.256	0.076	-0.931
0.50	0.255	-0.044	0.430	0.255	-0.054	-3.829
0.52	0.257	-0.015	-0.609	0.254	-0.186	-2.111
0.54	0.256	-0.064	-1.814	0.244	-0.204	2.542
0.56	0.255	-0.144	-0.660	0.241	0.010	3.273
0.58	0.247	-0.096	0.950	0.250	0.007	0.225
0.60	0.252	-0.074	1.136	0.242	-0.035	-1.045
0.62	0.244	-0.051	0.948	0.247	-0.045	-1.640
0.64	0.249	0.002	-0.825	0.241	-0.099	-1.620
0.66	0.248	-0.085	-2.272	0.244	-0.162	0.535
0.68	0.246	-0.173	-0.185	0.231	-0.086	2.738
0.70	0.237	-0.093	1.957	0.239	0.045	0.712
0.72	0.242	-0.009	0.510	0.238	-0.044	-2.037
0.74	0.240	-0.075	-1.076	0.236	-0.101	-2.016
0.76	0.238	-0.097	-0.857	0.234	-0.145	-0.807
0.78	0.236	-0.109	-0.413	0.230	-0.138	0.720
0.80	0.234	-0.107	-0.140	0.227	-0.077	0.569
0.82	0.232	-0.111	-0.116	0.229	-0.101	-0.273
0.84	0.229	-0.113	-0.039	0.223	-0.134	0.618
0.86	0.227	-0.112	0.024	0.221	-0.058	0.740
0.88	0.225	-0.111	0.055	0.223	-0.076	-0.293
0.90	0.222	-0.110	0.081	0.218	-0.093	-0.375
0.92	0.220	-0.108	0.076	0.219	-0.094	-0.287
0.94	0.218	-0.106	0.017	0.215	-0.116	0.304
0.96	0.216	-0.109	0.033	0.212	-0.061	-0.051
0.98	0.214	-0.106	0.147	0.214	-0.097	-1.236
1.00	0.212	-0.102	0.238	0.209	-0.146	-0.633
1.02	0.210	-0.096	0.290	0.208	-0.147	1.211
1.04	0.208	-0.087	0.197	0.202	-0.122	3.834
1.06	0.206	-0.088	0.046	0.199	0.064	3.597
1.08	0.204	-0.088	0.054	0.208	0.110	-0.661
1.10	0.203	-0.084	0.066	0.207	-0.006	-3.150
1.12	0.202	-0.099	0.609	0.206	-0.071	-2.810
1.14	0.197	-0.061	1.133	0.205	-0.151	-0.622
1.16	0.199	-0.023	0.375	0.198	-0.118	2.418
1.18	0.198	-0.052	-0.122	0.197	0.028	1.927
1.20	0.196	-0.050	0.286	0.204	-0.015	0.195
1.22	0.196	-0.034	0.470	0.196	-0.035	1.037
1.24	0.195	-0.025	0.423	0.199	0.048	1.013
1.26	0.195	-0.018	0.351	0.200	0.055	-0.827
1.28	0.194	-0.012	0.301	0.204	-0.021	-1.143
1.30	0.194	-0.006	0.285	0.198	-0.039	0.652
1.32	0.194	-0.001	0.291	0.200	0.018	1.933
1.34	0.194	0.003	0.428	0.198	0.085	1.204
1.36	0.194	0.018	0.482	0.205	0.082	-0.418
1.38	0.195	0.027	0.331	0.202	0.023	-0.198
1.40	0.195	0.030	0.242	0.204	0.077	0.145
1.42	0.196	0.033	0.317	0.208	0.033	0.231
1.44	0.197	0.040	0.494	0.203	0.078	0.429
1.46	0.198	0.057	0.466	0.211	0.117	-1.906
1.48	0.199	0.062	0.265	0.212	-0.043	-1.923
1.50	0.200	0.064	0.213	0.206	-0.067	2.455
1.52	0.202	0.070	0.204	0.205	0.100	4.612
1.54	0.203	0.073	0.204	0.211	0.242	1.342
1.56	0.204	0.076	0.301	0.220	0.181	-3.128
1.58	0.206	0.084	0.383	0.221	-0.018	-2.026
1.60	0.208	0.096	0.234	0.212	0.046	1.533
1.62	0.210	0.097	-0.052	0.221	0.182	-0.175
1.64	0.212	0.088	-0.041	0.227	0.038	-1.940
1.66	0.213	0.090	0.233	0.221	-0.020	1.094
1.68	0.215	0.100	0.410	0.221	0.131	2.408
1.70	0.217	0.112	0.316	0.230	0.147	0.832
1.72	0.220	0.116	0.039	0.228	0.106	1.011
1.74	0.222	0.111	-0.150	0.230	0.203	0.401
1.76	0.224	0.106	-0.140	0.239	0.187	-2.493
1.78	0.226	0.104	-0.071	0.241	0.034	-2.400
1.80	0.228	0.106	-0.181	0.236	0.030	0.331
1.82	0.230	0.102	-0.507	0.240	0.103	1.028
1.84	0.233	0.088	-0.780	0.243	0.094	0.602
1.86	0.235	0.054	-0.244	0.244	0.103	0.726
1.88	0.234	0.057	1.112	0.246	0.141	0.069
1.90	0.235	0.126	1.238	0.251	0.131	-1.543
1.92	0.240	0.139	-0.096	0.253	0.050	-1.887
1.94	0.242	0.103	-0.740	0.251	0.042	-1.435
1.96	0.244	0.089	-0.495	0.256	-0.011	-0.643
1.98	0.245	0.089	-0.325	0.249	-0.002	0.894
2.00	0.248	0.082	-0.384	0.255	0.051	1.234
2.02	0.249	0.070	-0.352	0.252	0.056	1.078
2.04	0.250	0.067	-0.268	0.256	0.092	0.769
2.06	0.251	0.061	-0.265	0.256	0.098	-0.062
2.08	0.253	0.058	-0.325	0.260	0.095	-1.074
2.10	0.254	0.049	-0.428	0.261	0.044	-1.552
2.12	0.255	0.038	-0.401	0.262	0.016	-1.282
2.14	0.255	0.031	-0.292	0.262	-0.002	-1.197
2.16	0.256	0.028	-0.273	0.262	-0.019	-1.592
2.18	0.256	0.022	-0.333	0.262	-0.074	-1.442
2.20	0.257	0.015	-0.413	0.258	-0.096	-0.220
2.22	0.257	0.005	-0.471	0.258	-0.115	2.168
2.24	0.257	-0.009	-0.312	0.250	0.014	3.229
2.26	0.256	-0.008	-0.112	0.259	0.109	0.028
2.28	0.257	-0.006	-0.199	0.259	0.005	-2.770
2.30	0.256	-0.015	-0.348	0.258	-0.066	-2.541
2.32	0.256	-0.022	-0.426	0.256	-0.145	0.017
2.34	0.256	-0.032	-0.493	0.249	-0.053	2.051
2.36	0.255	-0.044	-0.440	0.255	0.024	0.266
2.38	0.254	-0.051	-0.299	0.253	-0.054	-1.251
2.40	0.253	-0.056	-0.165	0.251	-0.073	-0.846
2.42	0.251	-0.056	-0.134	0.250	-0.084	-0.363
2.44	0.251	-0.056	-0.349	0.247	-0.081	-0.107
2.46	0.249	-0.072	-0.465	0.247	-0.078	-0.428
2.48	0.247	-0.080	-0.329	0.245	-0.096	-0.837
2.50	0.246	-0.085	-0.205	0.243	-0.113	-1.073
2.52	0.244	-0.087	-0.200	0.241	-0.156	-0.473
2.54	0.242	-0.083	-0.603	0.236	-0.151	0.878
2.56	0.241	-0.106	-1.059	0.234	-0.099	1.247
2.58	0.239	-0.154	-0.225	0.232	-0.067	0.185
2.60	0.234	-0.140	1.584	0.233	-0.110	-0.307
2.62	0.232	-0.052	1.663	0.227	-0.103	0.093
2.64	0.233	-0.035	-0.030	0.228	-0.070	-0.760
2.66	0.231	-0.075	-0.940	0.227	-0.140	-1.158
2.68	0.230	-0.092	-0.973	0.222	-0.179	0.879
2.70	0.228	-0.109	-1.028	0.216	-0.076	1.609
2.72	0.225	-0.129	-1.032	0.220	-0.036	-0.901
2.74	0.223	-0.167	-0.229	0.218	-0.143	-2.038
2.76	0.218	-0.173	1.844	0.213	-0.192	-0.029
2.78	0.213	-0.058	2.292	0.208	-0.149	2.283
2.80	0.218	-0.015	-0.063	0.206	-0.028	1.641
2.82	0.216	-0.105	-0.716	0.211	-0.073	0.277
2.84	0.211	-0.086	0.432	0.202	-0.081	1.195
2.86	0.212	-0.049	0.230	0.205	0.021	0.313
2.88	0.210	-0.071	-0.263	0.206	-0.025	-2.041
2.90	0.209	-0.077	-0.175	0.205	-0.138	-1.236
2.92	0.207	-0.074	-0.215	0.197	-0.110	1.181
2.94	0.206	-0.077	-0.453	0.200	-0.024	1.122
2.96	0.204	-0.095	-0.419	0.199	-0.069	1.014
2.98	0.203	-0.133	1.192	0.195	-0.024	2.163
3.00	0.196	-0.044	2.527	0.197	0.070	1.021
3.02	0.201	0.036	0.930	0.200	0.052	-1.488
3.04	0.200	-0.012	-0.580	0.200	-0.023	-2.425
3.06	0.200	-0.029	-0.357	0.200	-0.106	-0.549
3.08	0.199	-0.029	0.186	0.193	-0.063	2.088
3.10	0.198	-0.011	0.386	0.196	0.044	1.736
3.12	0.198	-0.005	0.177	0.197	0.062	-1.028
3.14	0.198	-0.010	0.162	0.201	-0.045	-1.705
3.16	0.198	-0.002	0.297	0.194	-0.086	1.160
3.18	0.198	0.003	0.407	0.194	0.024	3.217
3.20	0.198	0.014	0.489	0.196	0.103	2.534
3.22	0.199	0.027	0.346	0.199	0.131	1.117
3.24	0.199	0.028	0.204	0.201	0.148	-0.427
3.26	0.200	0.033	0.200	0.206	0.117	-1.725
3.28	0.200	0.034	0.308	0.207	0.037	-1.004
3.30	0.201	0.044	0.464	0.206	0.040	1.243
3.32	0.202	0.055	0.458	0.206	0.127	1.735
3.34	0.203	0.066	0.225	0.212	0.159	-0.000
3.36	0.205	0.068	-0.127	0.215	0.109	-1.116
3.38	0.206	0.058	-0.232	0.216	0.087	-0.977
3.40	0.208	0.039	0.500	0.218	0.059	-0.155
3.42	0.206	0.079	1.133	0.217	0.088	0.414
3.44	0.211	0.114	0.476	0.222	0.091	0.221
3.46	0.212	0.097	-0.213	0.221	0.095	0.038
3.48	0.214	0.088	-0.177	0.226	0.093	-0.153
3.50	0.216	0.088	0.043	0.225	0.074	0.365
3.52	0.218	0.095	0.111	0.228	0.107	0.901
3.54	0.220	0.095	0.054	0.230	0.119	0.923
3.56	0.222	0.095	0.036	0.232	0.160	0.123
3.58	0.223	0.096	-0.050	0.237	0.146	-1.470
3.60	0.225	0.097	-0.253	0.240	0.069	-1.520
3.62	0.227	0.090	-0.487	0.239	0.030	0.775
3.64	0.230	0.057	0.138	0.238	0.130	1.877
3.66	0.228	0.089	0.952	0.246	0.160	0.503
3.68	0.233	0.128	0.334	0.245	0.131	-0.383
3.70	0.235	0.103	-0.391	0.250	0.138	-1.052
3.72	0.237	0.096	-0.449	0.252	0.090	-1.539
3.74	0.239	0.087	-0.448	0.253	0.067	-1.369
3.76	0.240	0.076	-0.324	0.255	0.020	-0.433
3.78	0.241	0.072	-0.148	0.253	0.028	1.262
3.80	0.243	0.074	-0.110	0.255	0.113	1.052
3.82	0.245	0.070	-0.177	0.260	0.111	-0.836
3.84	0.246	0.066	-0.252	0.261	0.029	-0.741
3.86	0.247	0.059	-0.312	0.258	0.056	0.416
3.88	0.248	0.051	-0.247	0.263	0.093	-0.248
3.90	0.249	0.050	-0.196	0.264	0.046	-0.972
3.92	0.250	0.046	-0.245	0.264	0.029	-0.721
3.94	0.251	0.040	-0.294	0.265	0.020	-0.456
3.96	0.252	0.034	-0.343	0.265	0.014	-0.316
3.98	0.252	0.027	-0.419	0.265	0.010	-0.375
4.00	0.253	0.015	-0.405	0.265	0.001	-0.536
4.02	0.253	0.008	-0.276	0.265	-0.013	-0.644
4.04	0.253	0.006	-0.244	0.265	-0.025	-0.679
4.06	0.253	0.001	-0.358	0.264	-0.039	-0.688
4.08	0.253	-0.009	-0.422	0.264	-0.070	-0.029
4.10	0.253	-0.019	-0.318	0.260	-0.037	0.360
4.12	0.252	-0.024	-0.100	0.262	-0.019	-0.709
4.14	0.252	-0.020	-0.037	0.261	-0.063	-1.780
4.16	0.252	-0.020	-0.262	0.261	-0.144	-0.550
4.18	0.251	-0.032	-0.442	0.252	-0.091	1.116
4.20	0.250	-0.040	-0.458	0.258	-0.063	1.192
4.22	0.250	-0.052	-0.348	0.250	-0.048	1.137
4.24	0.248	-0.056	-0.147	0.255	0.009	-0.181
4.26	0.247	-0.055	-0.111	0.253	-0.056	-1.384
4.28	0.246	-0.058	-0.233	0.251	-0.078	-1.274
4.30	0.245	-0.065	-0.341	0.250	-0.100	-1.307
4.32	0.244	-0.073	-0.362	0.248	-0.123	-1.350
4.34	0.242	-0.081	-0.279	0.246	-0.178	-0.404
4.36	0.240	-0.086	-0.111	0.239	-0.163	1.443
4.38	0.239	-0.085	0.024	0.237	-0.073	1.274
4.40	0.237	-0.080	-0.046	0.239	-0.092	0.043
4.42	0.236	-0.088	-0.080	0.233	-0.097	-0.212
4.44	0.233	-0.086	-0.033	0.234	-0.086	-0.839
4.46	0.232	-0.085	-0.154	0.232	-0.157	-0.262
4.48	0.230	-0.094	-0.150	0.225	-0.119	1.119
4.50	0.228	-0.096	0.091	0.227	-0.059	0.154
4.52	0.226	-0.088	0.208	0.225	-0.101	-1.251
4.54	0.225	-0.082	0.059	0.222	-0.133	-1.558
4.56	0.223	-0.086	-0.111	0.221	-0.204	0.017
4.58	0.221	-0.090	-0.126	0.211	-0.132	1.746
4.60	0.219	-0.093	0.014	0.217	-0.093	1.508
4.62	0.218	-0.092	0.276	0.208	-0.076	1.157
4.64	0.215	-0.080	0.424	0.212	-0.017	-0.511
4.66	0.214	-0.067	0.191	0.211	-0.114	-1.333
4.68	0.213	-0.072	-0.066	0.205	-0.112	-0.238
4.70	0.211	-0.077	0.013	0.206	-0.109	0.367
4.72	0.210	-0.074	0.238	0.201	-0.100	1.035
4.74	0.208	-0.065	0.370	0.201	-0.041	0.493
4.76	0.207	-0.056	0.338	0.202	-0.076	-0.195
4.78	0.206	-0.050	0.211	0.197	-0.088	0.760
4.80	0.205	-0.048	0.107	0.197	-0.033	1.209
4.82	0.204	-0.049	0.169	0.197	-0.023	0.952
4.84	0.203	-0.044	0.344	0.195	0.006	0.562
4.86	0.202	-0.034	0.446	0.198	-0.002	0.201
4.88	0.202	-0.022	0.352	0.195	-0.000	0.440
4.90	0.202	-0.019	0.217	0.197	0.028	0.165
4.92	0.201	-0.018	0.276	0.197	0.011	-0.228
4.94	0.201	-0.010	0.446	0.198	0.005	-0.033
4.96	0.201	0.003	0.502	0.197	0.006	0.316
4.98	0.201	0.014	0.373	0.198	0.022	0.482
5.00	0.201	0.018	0.218	0.198	0.033	0.279
5.02	0.202	0.022	0.110	0.199	0.036	0.003
5.04	0.202	0.020	0.140	0.200	0.030	-0.075
5.06	0.202	0.023	0.363	0.200	0.013	0.649
5.08	0.203	0.037	0.472	0.199	0.060	1.126
5.10	0.204	0.047	0.330	0.203	0.091	0.244
5.12	0.205	0.050	0.143	0.204	0.063	-0.370
5.14	0.206	0.051	0.073	0.205	0.048	0.144
5.16	0.207	0.050	0.164	0.205	0.080	0.337
5.18	0.208	0.055	0.358	0.210	0.076	-0.054
5.20	0.209	0.068	0.411	0.208	0.054	0.356
5.22	0.211	0.073	0.370	0.210	0.106	0.262
5.24	0.212	0.083	0.267	0.215	0.079	-0.222
5.26	0.214	0.089	-0.036	0.214	0.038	1.589
5.28	0.216	0.077	-0.111	0.212	0.159	2.579
5.30	0.217	0.079	0.066	0.221	0.216	0.395
5.32	0.219	0.083	0.131	0.223	0.154	-1.077
5.34	0.220	0.084	0.149	0.226	0.134	-0.892
5.36	0.222	0.090	0.040	0.229	0.120	-0.513
5.38	0.224	0.093	-0.474	0.231	0.117	-0.198
5.40	0.226	0.078	-1.246	0.233	0.115	-0.106
5.42	0.228	0.042	-1.650	0.235	0.118	-0.419
5.44	0.229	-0.028	-0.119	0.238	0.109	-1.196
5.46	0.224	0.002	2.782	0.240	0.077	-1.914
5.48	0.227	0.134	3.252	0.243	-0.011	-0.747
5.50	0.231	0.195	0.776	0.237	0.005	2.043
5.52	0.237	0.157	-1.586	0.240	0.153	1.540
5.54	0.238	0.090	-1.982	0.249	0.097	-0.279
5.56	0.239	0.062	-1.259	0.244	0.044	1.597
5.58	0.241	0.026	0.117	0.245	0.195	1.980
5.60	0.239	0.074	0.973	0.255	0.205	-0.938
5.62	0.244	0.112	-0.209	0.256	0.113	-2.167
5.64	0.245	0.061	-1.177	0.257	0.080	-1.630
5.66	0.246	0.018	-0.237	0.259	0.057	-1.060
5.68	0.244	0.053	0.718	0.260	0.025	0.024
5.70	0.248	0.087	0.006	0.258	0.060	0.838
5.72	0.249	0.053	-0.809	0.263	0.095	0.027
5.74	0.250	0.031	-0.663	0.264	0.060	-0.804
5.76	0.250	0.024	-0.301	0.265	0.041	-0.741
5.78	0.251	0.026	-0.171	0.265	0.030	-0.542
5.80	0.251	0.021	-0.287	0.266	0.023	-0.438
5.82	0.252	0.015	-0.437	0.266	0.012	-0.386
5.84	0.252	0.004	-0.545	0.266	0.008	-0.358
5.86	0.252	-0.014	-0.335	0.267	0.001	-0.454
5.88	0.251	-0.012	-0.022	0.266	-0.011	-0.507
5.90	0.252	-0.007	-0.060	0.266	-0.021	-0.463
5.92	0.251	-0.013	-0.197	0.265	-0.031	-0.376
5.94	0.251	-0.015	-0.367	0.265	-0.035	-0.317
5.96	0.251	-0.027	-0.531	0.264	-0.041	-0.365
5.98	0.250	-0.041	-0.429	0.263	-0.055	-0.218
6.00	0.249	-0.046	-0.230	0.261	-0.050	-0.071
6.02	0.248	-0.048	-0.147	0.261	-0.048	-0.374
6.04	0.247	-0.050	-0.159	0.260	-0.069	-0.533
6.06	0.246	-0.052	-0.282	0.258	-0.071	-0.698
6.08	0.245	-0.062	-0.396	0.257	-0.091	-0.972
6.10	0.243	-0.069	-0.539	0.255	-0.112	-0.932
6.12	0.242	-0.078	-0.812	0.254	-0.162	0.402
6.14	0.241	-0.097	-1.073	0.245	-0.094	1.567
6.16	0.239	-0.159	0.222	0.250	-0.030	-0.103
6.18	0.231	-0.091	1.564	0.248	-0.126	-0.729
6.20	0.236	-0.041	0.545	0.242	-0.105	0.444
6.22	0.232	-0.076	-0.334	0.243	-0.065	-0.076
6.24	0.232	-0.083	-0.145	0.241	-0.099	-0.942
6.26	0.228	-0.076	-0.061	0.239	-0.121	-1.095
6.28	0.229	-0.062	-0.766	0.237	-0.158	-0.537
6.30	0.227	-0.127	-0.588	0.231	-0.139	0.014
6.32	0.222	-0.121	1.011	0.232	-0.141	-0.020
6.34	0.221	-0.055	1.212	0.226	-0.164	0.859
6.36	0.222	-0.039	-0.135	0.223	-0.109	1.674
6.38	0.220	-0.069	-1.205	0.222	-0.060	0.817
6.40	0.219	-0.102	-1.442	0.222	-0.065	-0.556
6.42	0.217	-0.149	-0.470	0.220	-0.099	-1.105
6.44	0.212	-0.140	1.350	0.219	-0.145	-0.052
6.46	0.210	-0.074	2.121	0.212	-0.107	1.267
6.48	0.209	-0.021	1.273	0.214	-0.050	0.691
6.50	0.210	-0.016	-0.001	0.212	-0.071	-0.403
6.52	0.209	-0.040	-0.506	0.211	-0.084	-0.828
6.54	0.208	-0.047	-0.414	0.209	-0.106	-0.913
6.56	0.207	-0.054	-0.277	0.207	-0.140	-0.023
6.58	0.206	-0.061	0.014	0.202	-0.123	1.492
6.60	0.204	-0.056	0.369	0.201	-0.042	1.391
6.62	0.203	-0.042	0.487	0.203	-0.055	0.642
6.64	0.203	-0.032	0.381	0.198	-0.043	0.855
6.66	0.202	-0.026	0.248	0.200	-0.004	0.406
6.68	0.202	-0.023	0.179	0.199	-0.025	-0.057
6.70	0.201	-0.022	0.252	0.199	-0.023	0.129
6.72	0.201	-0.015	0.405	0.198	-0.015	0.157
6.74	0.201	-0.003	0.418	0.198	-0.011	0.025
6.76	0.201	0.004	0.330	0.198	-0.020	0.078
6.78	0.201	0.010	0.244	0.197	-0.009	0.204
6.80	0.201	0.012	0.259	0.198	-0.002	0.052
6.82	0.201	0.019	0.369	0.198	-0.028	0.742
6.84	0.202	0.028	0.397	0.195	0.021	1.587
6.86	0.202	0.035	0.367	0.198	0.075	0.660
6.88	0.203	0.044	0.279	0.199	0.056	-0.679
6.90	0.204	0.047	0.183	0.201	0.031	-1.143
6.92	0.205	0.049	0.196	0.202	-0.022	-0.031
6.94	0.206	0.055	0.225	0.198	0.005	2.112
6.96	0.207	0.058	0.251	0.200	0.109	2.173
6.98	0.208	0.066	0.221	0.204	0.130	0.431
7.00	0.210	0.068	0.142	0.206	0.110	-0.931
7.02	0.211	0.070	0.154	0.208	0.085	-1.737
7.04	0.213	0.073	0.222	0.210	0.041	-1.955
7.06	0.214	0.077	0.322	0.212	-0.056	0.476
7.08	0.216	0.089	0.279	0.203	0.035	3.609
7.10	0.218	0.092	0.091	0.211	0.208	1.758
7.12	0.220	0.090	0.013	0.218	0.130	-1.186
7.14	0.221	0.093	-0.109	0.216	0.044	0.438
7.16	0.223	0.089	-0.308	0.214	0.155	1.885
7.18	0.225	0.079	-0.349	0.224	0.208	-0.200
7.20	0.227	0.055	0.402	0.226	0.126	-1.537
7.22	0.226	0.095	1.088	0.228	0.101	-0.945
7.24	0.231	0.134	0.238	0.230	0.078	0.226
7.26	0.233	0.104	-0.668	0.229	0.125	0.828
7.28	0.234	0.086	-0.689	0.235	0.152	-0.320
7.30	0.236	0.076	-0.501	0.238	0.081	-0.268
7.32	0.238	0.070	-0.330	0.236	0.116	0.779
7.34	0.239	0.049	0.313	0.242	0.156	0.054
7.36	0.238	0.082	0.868	0.244	0.119	-0.734
7.38	0.242	0.114	0.124	0.246	0.104	-0.649
7.40	0.244	0.086	-0.624	0.248	0.094	-0.508
7.42	0.245	0.069	-0.532	0.250	0.091	-0.574
7.44	0.247	0.064	-0.311	0.252	0.076	-0.806
7.46	0.248	0.062	-0.287	0.254	0.041	-0.417
7.48	0.249	0.055	-0.395	0.252	0.058	0.082
