Time	Position	Velocity	Acceleration	Position	Velocity	Acceleration
0.00	0.227	-0.013	0.236	0.226	0.165	-3.466
0.02	0.227	-0.008	0.218	0.230	0.095	-3.385
0.04	0.227	-0.004	0.183	0.230	0.021	-2.988
0.06	0.226	0.000	0.124	0.230	-0.027	-2.399
0.08	0.227	0.003	-0.024	0.230	-0.089	-1.030
0.10	0.227	-0.002	-0.095	0.226	-0.079	0.703
0.12	0.226	-0.005	0.021	0.226	-0.047	1.689
0.14	0.226	-0.001	0.101	0.223	0.031	0.938
0.16	0.226	0.003	0.026	0.231	-0.021	0.495
0.18	0.227	0.002	-0.122	0.220	-0.006	2.132
0.20	0.227	-0.003	-0.208	0.227	0.135	0.758
0.22	0.227	-0.012	-0.029	0.230	0.069	-2.394
0.24	0.226	-0.006	0.231	0.231	-0.033	-2.500
0.26	0.226	0.005	0.164	0.227	-0.071	-0.687
0.28	0.226	0.002	0.004	0.227	-0.043	0.736
0.30	0.226	0.001	-0.030	0.226	-0.013	0.811
0.32	0.226	0.001	-0.074	0.227	-0.017	0.795
0.34	0.226	-0.002	-0.072	0.224	0.038	0.033
0.36	0.226	-0.003	0.002	0.231	-0.008	-0.831
0.38	0.226	-0.001	0.046	0.224	-0.066	1.144
0.40	0.226	-0.001	0.084	0.224	0.058	2.147
0.42	0.226	0.003	0.063	0.228	0.103	-0.217
0.44	0.226	0.004	-0.078	0.231	0.020	-1.479
0.46	0.226	-0.002	-0.130	0.228	-0.024	-0.027
0.48	0.226	-0.005	-0.015	0.227	0.044	0.576
0.50	0.226	-0.002	0.066	0.231	0.053	-0.933
0.52	0.226	-0.000	0.051	0.232	-0.022	-1.385
0.54	0.226	0.000	0.012	0.229	-0.048	-0.007
0.56	0.226	0.001	-0.063	0.227	0.011	0.267
0.58	0.226	-0.003	-0.079	0.232	-0.013	-0.425
0.60	0.226	-0.005	0.034	0.227	-0.060	0.869
0.62	0.226	-0.001	0.097	0.225	0.045	1.187
0.64	0.226	0.002	0.012	0.232	0.036	-0.461
0.66	0.226	0.001	-0.116	0.228	-0.027	-0.070
0.68	0.226	-0.006	-0.095	0.228	0.038	0.194
0.70	0.226	-0.007	0.112	0.232	0.010	-0.555
0.72	0.226	0.001	0.203	0.228	-0.020	0.033
0.74	0.226	0.006	0.073	0.229	0.028	-0.102
0.76	0.226	0.004	-0.076	0.231	-0.004	-0.981
0.78	0.226	0.002	-0.170	0.229	-0.041	-0.641
0.80	0.226	-0.005	-0.118	0.229	-0.032	-0.106
0.82	0.226	-0.006	0.058	0.228	-0.045	0.517
0.84	0.226	-0.001	0.145	0.226	-0.007	0.960
0.86	0.226	0.003	0.093	0.229	-0.001	1.015
0.88	0.226	0.004	-0.014	0.225	0.020	1.493
0.90	0.226	0.002	-0.104	0.228	0.098	0.343
0.92	0.226	-0.003	-0.087	0.233	0.032	-0.769
0.94	0.226	-0.004	0.060	0.228	0.024	-0.163
0.96	0.226	0.002	0.123	0.232	0.054	-0.727
0.98	0.226	0.004	0.044	0.232	0.009	-1.707
1.00	0.226	0.004	-0.056	0.233	-0.029	-1.886
1.02	0.226	0.001	-0.143	0.232	-0.105	-0.307
1.04	0.226	-0.005	-0.089	0.226	-0.061	2.048
1.06	0.226	-0.005	0.090	0.228	0.030	1.948
1.08	0.226	0.001	0.145	0.229	0.057	0.050
1.10	0.226	0.004	0.065	0.232	0.011	-1.037
1.12	0.226	0.004	-0.026	0.229	-0.034	-0.013
1.14	0.226	0.002	-0.102	0.228	0.026	0.489
1.16	0.226	-0.002	-0.080	0.232	0.017	-0.305
1.18	0.226	-0.003	0.023	0.229	0.000	-0.525
1.20	0.226	0.000	0.068	0.232	-0.016	-0.163
1.22	0.226	0.002	0.010	0.229	-0.026	1.010
1.24	0.226	0.001	-0.087	0.228	0.049	0.962
1.26	0.226	-0.004	-0.044	0.232	0.054	-0.896
1.28	0.226	-0.003	0.101	0.232	-0.005	-1.855
1.30	0.226	0.002	0.133	0.232	-0.068	-0.644
1.32	0.226	0.005	0.066	0.228	-0.058	1.737
1.34	0.226	0.006	-0.054	0.227	0.053	1.869
1.36	0.226	0.002	-0.157	0.232	0.066	-0.238
1.38	0.226	-0.004	-0.089	0.232	0.007	-0.998
1.40	0.226	-0.003	0.060	0.231	-0.000	-0.571
1.42	0.226	0.001	0.081	0.232	0.001	-0.760
1.44	0.226	0.001	0.036	0.231	-0.018	-1.366
1.46	0.226	0.003	-0.021	0.231	-0.049	-1.933
1.48	0.226	0.001	-0.094	0.231	-0.154	0.062
1.50	0.226	-0.004	-0.021	0.221	-0.068	2.875
1.52	0.226	-0.002	0.142	0.228	0.037	2.223
1.54	0.226	0.005	0.146	0.224	0.054	-0.048
1.56	0.226	0.007	0.015	0.231	0.027	-1.875
1.58	0.226	0.005	-0.084	0.227	-0.088	-0.639
1.60	0.226	0.003	-0.126	0.224	-0.038	2.294
1.62	0.227	-0.002	-0.080	0.224	0.086	1.772
1.64	0.226	-0.002	0.039	0.231	0.063	-0.271
1.66	0.226	0.002	0.074	0.227	0.027	-0.610
1.68	0.226	0.002	0.054	0.230	0.046	-1.049
1.70	0.226	0.004	0.015	0.230	-0.003	-1.594
1.72	0.227	0.004	-0.095	0.231	-0.058	-0.383
1.74	0.227	-0.002	-0.111	0.226	-0.039	1.604
1.76	0.226	-0.004	0.038	0.227	0.055	1.477
1.78	0.226	0.002	0.099	0.231	0.054	-0.302
1.80	0.227	0.003	0.018	0.230	0.015	-1.104
1.82	0.227	0.002	-0.068	0.230	-0.002	-1.204
1.84	0.227	-0.002	-0.054	0.231	-0.035	-0.913
1.86	0.226	-0.002	0.059	0.229	-0.056	0.120
1.88	0.227	0.002	0.087	0.227	-0.030	1.018
1.90	0.227	0.004	-0.002	0.227	0.018	0.501
1.92	0.227	0.003	-0.118	0.230	-0.005	-0.229
1.94	0.227	-0.001	-0.207	0.227	-0.030	0.517
1.96	0.227	-0.011	-0.028	0.226	0.029	0.675
1.98	0.226	-0.005	0.277	0.229	0.041	-0.886
2.00	0.227	0.008	0.214	0.230	-0.032	-1.304
2.02	0.227	0.006	0.005	0.227	-0.058	0.253
2.04	0.227	0.006	-0.119	0.226	-0.010	1.411
2.06	0.227	0.000	-0.160	0.227	0.043	0.712
2.08	0.227	-0.004	-0.025	0.230	0.011	0.059
2.10	0.227	-0.000	0.099	0.226	0.020	0.342
2.12	0.227	0.003	0.092	0.230	0.050	-0.326
2.14	0.227	0.004	0.024	0.230	0.010	-1.027
2.16	0.227	0.004	-0.054	0.230	-0.010	-0.895
2.18	0.227	0.002	-0.126	0.229	-0.042	0.022
2.20	0.227	-0.003	-0.110	0.227	-0.007	0.885
2.22	0.227	-0.005	0.029	0.230	0.013	0.786
2.24	0.227	-0.001	0.123	0.228	0.026	0.481
2.26	0.227	0.003	0.074	0.230	0.041	-0.228
2.28	0.227	0.003	-0.036	0.230	0.010	-0.557
2.30	0.227	0.001	-0.134	0.230	0.002	-0.144
2.32	0.227	-0.005	-0.088	0.230	0.011	0.017
2.34	0.227	-0.005	0.084	0.231	0.013	-0.294
2.36	0.227	0.001	0.116	0.231	0.001	-0.723
2.38	0.227	0.003	-0.000	0.231	-0.014	-1.049
2.40	0.227	0.001	-0.116	0.231	-0.064	-0.262
2.42	0.227	-0.005	-0.086	0.227	-0.056	1.733
2.44	0.227	-0.005	0.079	0.227	0.045	1.873
2.46	0.227	0.001	0.114	0.231	0.072	-0.340
2.48	0.227	0.003	0.006	0.232	0.013	-1.748
2.50	0.227	0.000	-0.075	0.231	-0.049	-0.854
2.52	0.227	-0.001	-0.095	0.228	-0.043	0.962
2.54	0.227	-0.005	-0.021	0.228	0.037	0.845
2.56	0.226	-0.003	0.090	0.232	0.035	-1.050
2.58	0.227	0.001	0.076	0.232	-0.074	-0.279
2.60	0.227	0.001	0.015	0.224	-0.004	1.596
2.62	0.227	0.001	-0.015	0.231	0.079	0.008
2.64	0.227	0.001	-0.076	0.232	-0.015	-1.193
2.66	0.227	-0.003	-0.090	0.229	-0.038	0.271
2.68	0.226	-0.005	0.021	0.228	0.030	0.412
2.70	0.226	-0.001	0.095	0.232	0.010	-0.657
2.72	0.226	0.000	0.074	0.228	-0.011	-1.040
2.74	0.226	0.003	-0.008	0.232	-0.061	-0.203
2.76	0.227	0.001	-0.126	0.224	-0.043	1.634
2.78	0.227	-0.005	-0.109	0.229	0.068	0.838
2.80	0.226	-0.006	0.032	0.232	-0.008	-0.183
2.82	0.226	-0.002	0.093	0.226	0.017	0.432
2.84	0.226	-0.000	0.054	0.232	0.042	-0.216
2.86	0.226	0.000	-0.004	0.229	0.013	-0.884
2.88	0.226	0.000	-0.086	0.232	-0.011	-0.796
2.90	0.226	-0.005	-0.070	0.229	-0.042	0.317
2.92	0.226	-0.005	0.070	0.229	0.004	1.282
2.94	0.226	0.000	0.086	0.229	0.050	0.430
2.96	0.226	0.000	0.004	0.232	0.026	-0.767
2.98	0.226	-0.000	-0.054	0.230	-0.000	-1.093
3.00	0.226	-0.002	-0.093	0.232	-0.026	-0.776
3.02	0.226	-0.006	-0.033	0.229	-0.056	0.671
3.04	0.226	-0.005	0.105	0.228	0.004	1.843
3.06	0.226	0.001	0.108	0.229	0.061	1.017
3.08	0.226	0.002	-0.028	0.232	0.056	-0.449
3.10	0.226	-0.001	-0.116	0.232	0.021	-1.009
3.12	0.226	-0.006	-0.055	0.232	0.003	-0.900
3.14	0.226	-0.005	0.101	0.232	-0.012	-0.772
3.16	0.226	0.001	0.134	0.232	-0.022	-0.731
3.18	0.226	0.003	0.034	0.232	-0.055	-0.133
3.20	0.226	0.001	-0.035	0.229	-0.044	1.077
3.22	0.226	0.001	-0.092	0.229	0.024	0.737
3.24	0.226	-0.003	-0.089	0.232	-0.003	-0.185
3.26	0.226	-0.005	0.039	0.228	-0.005	-0.189
3.28	0.226	-0.001	0.127	0.232	-0.009	-0.198
3.30	0.226	0.003	0.084	0.228	-0.028	0.381
3.32	0.226	0.004	-0.018	0.229	0.028	0.017
3.34	0.226	0.002	-0.113	0.231	-0.013	-0.910
3.36	0.226	-0.003	-0.107	0.228	-0.042	-0.315
3.38	0.226	-0.005	0.030	0.229	-0.025	0.401
3.40	0.226	-0.001	0.125	0.228	-0.038	1.496
