,mass A,,,,,
t,x,y,θ,ω,α,
1.903,390.9,39.36,5.8,3.2,-11.1
1.920,390.6,39.56,5.8,2.4,-22.4
1.937,390.4,39.88,5.8,2.8,-19.6
1.954,390.0,40.14,5.9,1.8,-63.5
1.971,389.4,40.19,5.9,0.5,-92.4
1.987,389.5,40.21,5.9,-1.1,-91.8
2.004,389.8,39.97,5.9,-2.8,-44.5
2.021,390.4,39.64,5.8,-2.7,-4.4
2.038,390.9,39.46,5.8,-2.6,31.3
2.055,391.1,39.10,5.7,-2.1,54.8
2.072,391.3,39.03,5.7,-0.4,52.3
2.088,391.4,39.03,5.7,-0.3,26.5
2.105,391.0,38.93,5.7,0.2,-14.9
2.122,390.3,38.97,5.7,-0.3,-10.2
2.139,390.2,38.77,5.7,-0.8,-33.9
2.156,390.1,38.77,5.7,-0.9,1.4
2.173,390.1,38.56,5.6,-1.2,-19.6
2.189,390.4,38.52,5.6,-1.1,29.1
2.206,390.9,38.37,5.6,-0.7,55.8
2.223,391.1,38.44,5.6,1.0,62.0
2.240,391.2,38.64,5.6,1.5,59.0
2.257,391.2,38.79,5.7,2.7,40.3
2.274,390.7,39.21,5.7,3.3,12.8
2.291,390.3,39.47,5.8,2.7,-48.6
2.307,389.4,39.71,5.8,1.9,-48.4
2.324,389.5,39.85,5.8,0.9,-48.2
2.341,389.5,39.92,5.9,0.4,-55.4
2.358,390.0,39.99,5.9,-0.9,0.4
2.375,390.6,39.82,5.8,-0.1,10.3
2.392,391.1,40.07,5.9,0.3,15.6
2.408,391.2,39.97,5.8,-0.3,2.5
2.425,391.1,40.00,5.8,0.7,36.0
2.442,390.6,40.08,5.9,0.9,5.8
2.459,390.3,40.13,5.9,0.8,-12.1
2.476,389.7,40.17,5.9,0.6,-17.5
2.493,389.6,40.20,5.9,0.2,-23.4
2.509,389.4,40.18,5.9,-0.2,6.1
2.526,389.6,40.17,5.9,0.3,3.5
2.543,390.4,40.34,5.9,0.2,24.5
2.560,391.0,40.36,5.9,0.7,30.3
2.577,391.1,40.57,5.9,1.6,36.9
2.594,391.0,40.74,5.9,1.7,32.9
2.611,390.8,40.94,6.0,2.7,39.4
2.627,390.3,41.30,6.0,3.3,-0.0
2.644,389.5,41.57,6.1,2.6,-52.2
2.661,389.4,41.80,6.1,1.5,-83.9
2.678,389.1,41.88,6.1,-0.2,-106.6
2.695,389.2,41.73,6.1,-2.2,-52.1
2.712,389.7,41.44,6.1,-2.2,-42.9
2.728,390.7,41.39,6.0,-3.0,-6.7
2.745,391.2,40.90,6.0,-3.2,-4.0
2.762,391.0,40.68,5.9,-2.4,41.8
2.779,390.7,40.30,5.9,-2.3,24.6
2.796,390.5,40.09,5.9,-1.3,54.3
2.813,390.0,39.93,5.8,-0.5,22.3
2.829,389.6,39.87,5.8,-0.4,19.7
2.846,389.6,39.79,5.8,-0.1,-20.3
2.863,389.9,39.88,5.8,-0.7,-27.5
2.880,390.1,39.67,5.8,-1.5,-19.5
2.897,390.6,39.59,5.8,-1.1,56.7
2.914,390.9,39.50,5.8,0.2,49.7
2.931,391.1,39.68,5.8,1.0,52.7
2.947,390.8,39.72,5.8,1.5,49.3
2.964,390.5,39.97,5.8,2.9,46.4
2.981,389.8,40.29,5.9,3.1,-34.6
2.998,389.1,40.54,5.9,1.7,-86.8
3.015,389.0,40.60,6.0,-0.0,-85.0
3.032,389.2,40.55,5.9,-1.1,-52.9
3.048,389.3,40.39,5.9,-1.8,-6.5
3.065,389.6,40.18,5.9,-1.4,1.5
3.082,390.4,40.18,5.9,-1.4,11.8
3.099,390.6,39.96,5.8,-1.4,0.4
3.116,390.6,39.87,5.8,-1.1,-11.8
3.133,390.3,39.68,5.8,-1.9,13.0
3.149,389.9,39.35,5.8,-0.9,1.9
3.166,389.4,39.37,5.8,-1.1,8.2
3.183,389.2,39.03,5.7,-1.5,2.1
3.200,389.1,38.99,5.7,-0.4,28.7
3.217,389.4,38.95,5.7,-0.8,9.3
3.234,390.1,38.91,5.7,-0.2,25.2
3.251,390.6,39.01,5.7,0.3,30.6
3.267,390.8,39.05,5.7,0.6,43.1
3.284,390.7,39.16,5.7,1.8,49.9
3.301,390.6,39.45,5.8,2.5,45.1
3.318,390.1,39.67,5.8,3.1,44.7
3.335,389.7,40.06,5.9,4.2,-5.9
3.352,389.4,40.56,5.9,3.1,-82.0
3.368,389.2,40.73,6.0,1.0,-96.4
3.385,389.4,40.80,6.0,-0.1,-30.6
3.402,389.8,40.77,6.0,-0.1,-2.0
3.419,390.5,40.88,6.0,0.1,-21.5
3.436,390.8,40.89,6.0,-0.9,-51.1
3.453,390.9,40.72,5.9,-1.8,-27.7
3.469,390.6,40.45,5.9,-1.8,39.4
3.486,390.5,40.26,5.9,-0.5,51.2
3.503,390.2,40.29,5.9,0.2,21.7
3.520,389.9,40.26,5.9,-0.0,-25.8
3.537,389.8,40.25,5.9,-0.5,-24.1
3.554,389.8,40.12,5.9,-1.0,-39.0
3.571,390.2,40.06,5.9,-1.7,14.0
3.587,390.7,39.84,5.8,-0.9,48.7
3.604,390.9,39.91,5.8,0.5,47.3
3.621,390.9,39.97,5.8,0.5,-4.7
3.638,390.8,40.02,5.8,0.4,37.1
3.655,390.7,40.04,5.9,1.5,23.5
3.672,390.4,40.33,5.9,1.7,-14.5
3.688,389.9,40.35,5.9,0.5,-52.9
3.705,389.8,40.40,5.9,0.1,-29.2
3.722,390.1,40.38,5.9,-0.5,-19.2
3.739,390.3,40.32,5.9,-0.6,-32.4
3.756,390.3,40.28,5.9,-1.4,-35.1
3.773,390.6,40.04,5.9,-2.1,10.4
3.789,390.6,39.82,5.8,-1.0,50.6
3.806,390.6,39.82,5.8,-0.2,21.4
3.823,390.7,39.79,5.8,-0.4,-4.0
3.840,390.4,39.71,5.8,-0.3,1.0
3.857,390.3,39.67,5.8,-0.3,6.2
3.874,389.9,39.59,5.8,-0.2,-2.1
3.891,390.0,39.59,5.8,-0.3,-24.9
3.907,389.9,39.53,5.8,-1.0,-46.7
3.924,390.1,39.37,5.8,-1.9,10.3
3.941,390.1,39.11,5.7,-0.9,12.8
3.958,390.4,39.19,5.7,-0.9,29.8
3.975,390.5,38.95,5.7,-0.7,46.5
3.992,390.5,39.05,5.7,1.3,43.0
4.008,390.3,39.23,5.7,0.8,6.8
4.025,390.2,39.21,5.7,1.0,4.2
4.042,390.0,39.43,5.8,1.5,-17.5
4.059,389.7,39.50,5.8,0.2,-61.9
4.076,390.1,39.48,5.8,-0.7,-39.5
4.093,390.0,39.38,5.8,-1.1,-4.0
4.110,390.3,39.25,5.7,-0.9,9.3
4.126,390.3,39.19,5.7,-0.6,-0.2
4.143,390.4,39.12,5.7,-1.0,-5.9
4.160,390.4,38.98,5.7,-0.9,23.4
4.177,390.5,38.92,5.7,-0.1,40.5
4.194,390.5,38.97,5.7,0.5,20.9
4.211,390.4,39.04,5.7,0.6,29.6
4.227,390.4,39.09,5.7,1.3,-5.9
4.244,390.5,39.37,5.8,0.9,-65.7
4.261,390.5,39.30,5.7,-1.3,-62.4
4.278,390.8,39.09,5.7,-1.4,16.3
4.295,391.0,39.03,5.7,-0.5,23.9
4.312,391.1,39.01,5.7,-0.5,12.0
4.328,391.1,38.91,5.7,-0.3,46.8
4.345,390.9,38.94,5.7,1.1,52.3
4.362,391.0,39.17,5.7,1.7,17.6
4.379,390.6,39.29,5.7,1.5,-2.5
4.396,390.6,39.48,5.8,1.6,6.0
4.413,390.6,39.68,5.8,1.7,-1.7
4.430,390.7,39.89,5.8,1.6,-13.8
4.446,390.8,40.07,5.9,1.2,-44.4
4.463,390.8,40.19,5.9,0.2,-48.0
4.480,390.8,40.12,5.9,-0.6,-12.7
4.497,391.1,40.08,5.9,-0.2,39.5
4.514,390.8,40.08,5.9,0.8,30.8
4.531,390.9,40.24,5.9,1.0,-3.5
4.547,390.9,40.33,5.9,0.5,-18.1
4.564,390.8,40.35,5.9,0.4,-23.8
4.581,390.6,40.38,5.9,-0.1,-46.3
4.598,390.4,40.28,5.9,-1.3,-19.9
4.615,390.5,40.07,5.9,-1.0,6.9
4.632,390.8,40.08,5.9,-0.7,-9.0
4.648,390.9,39.96,5.8,-1.5,-32.6
4.665,390.9,39.74,5.8,-1.8,4.3
4.682,390.8,39.53,5.8,-1.4,32.2
4.699,390.9,39.43,5.8,-0.7,57.0
4.716,391.0,39.39,5.8,0.5,69.0
4.733,390.9,39.53,5.8,1.8,38.2
4.750,390.7,39.77,5.8,1.8,-16.7
4.766,390.5,39.93,5.8,1.1,-34.3
4.783,390.6,40.01,5.8,0.7,-16.0
4.800,390.6,40.08,5.9,0.6,-14.7
4.817,390.3,40.12,5.9,0.2,-22.8
4.834,390.6,40.13,5.9,-0.3,-16.7
4.851,390.9,40.12,5.9,-0.4,22.8
4.867,391.2,40.11,5.9,0.4,25.3
4.884,391.0,40.23,5.9,0.8,0.0
4.901,390.8,40.25,5.9,0.2,-29.0
4.918,390.7,40.26,5.9,-0.2,-28.8
4.935,390.5,40.18,5.9,-0.8,-38.2
4.952,390.3,40.04,5.9,-1.4,-2.9
4.968,390.3,39.82,5.8,-1.0,-5.0
4.985,390.1,39.78,5.8,-1.2,-21.8
5.002,390.2,39.54,5.8,-2.1,-5.6
5.019,390.5,39.32,5.8,-1.4,17.6
5.036,390.5,39.26,5.7,-1.2,32.2
5.053,390.8,39.07,5.7,-0.7,54.5
5.070,390.8,39.11,5.7,1.0,45.3
5.086,390.7,39.28,5.7,0.9,-16.4
5.103,390.6,39.29,5.7,0.2,-10.0
5.120,390.3,39.27,5.7,0.5,9.4
5.137,390.0,39.36,5.8,0.7,-14.7
5.154,389.8,39.38,5.8,-0.1,-37.7
5.171,390.1,39.35,5.8,-0.7,-2.5
5.187,390.0,39.24,5.7,-0.2,42.3
5.204,390.5,39.33,5.8,0.9,36.2
5.221,390.7,39.52,5.8,1.1,8.0
5.238,390.6,39.61,5.8,1.0,9.9
5.255,390.7,39.75,5.8,1.5,37.9
5.272,390.5,39.94,5.8,2.2,0.5
5.288,390.3,40.23,5.9,1.7,-41.5
5.305,389.9,40.28,5.9,0.5,-62.0
5.322,389.7,40.29,5.9,-0.2,-32.4
5.339,390.0,40.24,5.9,-0.7,-9.2
5.356,390.2,40.19,5.9,-0.4,6.3
5.373,390.4,40.18,5.9,-0.4,28.1
5.390,391.0,40.17,5.9,0.3,23.2
5.406,391.0,40.31,5.9,0.7,6.0
5.423,390.8,40.32,5.9,0.3,0.2
5.440,390.7,40.34,5.9,0.7,2.2
5.457,390.4,40.44,5.9,0.5,-25.6
