,mass A,,,,
t,x,y,θ,ω,
1.212638E0,2.158979E1,-7.469058E0,-1.908323E1,1.905574E0
1.229480E0,2.165275E1,-7.487173E0,-1.907456E1,-1.917635E0
1.246323E0,2.167815E1,-7.527008E0,-1.914783E1,-2.144929E0
1.263165E0,2.169702E1,-7.533130E0,-1.914682E1,-4.589771E0
1.280007E0,2.167545E1,-7.591680E0,-1.930246E1,-6.069537E0
1.296849E0,2.165314E1,-7.604592E0,-1.935130E1,-1.735473E0
1.313691E0,2.163610E1,-7.602693E0,-1.936093E1,-1.240120E0
1.330534E0,2.160295E1,-7.604667E0,-1.939308E1,2.031874E0
1.347376E0,2.158734E1,-7.556596E0,-1.929247E1,7.105195E0
1.364218E0,2.159123E1,-7.499309E0,-1.915371E1,6.540590E0
1.381060E0,2.159065E1,-7.464674E0,-1.907213E1,2.117092E0
1.397902E0,2.160734E1,-7.474776E0,-1.908239E1,7.441053E-1
1.414745E0,2.162777E1,-7.466915E0,-1.904706E1,-2.752875E0
1.431587E0,2.165362E1,-7.530051E0,-1.917513E1,-6.262359E0
1.448429E0,2.167923E1,-7.574137E0,-1.925803E1,-3.647111E0
1.465271E0,2.165975E1,-7.584286E0,-1.929800E1,-1.978391E0
1.482113E0,2.164477E1,-7.590361E0,-1.932468E1,-7.276554E-1
1.498956E0,2.163215E1,-7.585015E0,-1.932251E1,2.296402E0
1.515798E0,2.163257E1,-7.553297E0,-1.924732E1,4.203233E0
1.532640E0,2.163000E1,-7.524284E0,-1.918091E1,3.264139E0
1.549482E0,2.162733E1,-7.504929E0,-1.913735E1,2.928312E0
1.566324E0,2.163574E1,-7.484546E0,-1.908226E1,2.478395E0
1.583167E0,2.164225E1,-7.474892E0,-1.905411E1,-3.293797E-2
1.600009E0,2.165164E1,-7.490510E0,-1.908336E1,-3.358936E0
1.616851E0,2.165816E1,-7.528299E0,-1.916727E1,-5.731428E0
1.633693E0,2.166277E1,-7.576442E0,-1.927702E1,-5.950437E0
1.650535E0,2.168419E1,-7.622485E0,-1.936773E1,-2.627713E0
1.667378E0,2.168625E1,-7.622278E0,-1.936554E1,1.480085E0
1.684220E0,2.167163E1,-7.596885E0,-1.931787E1,2.469263E0
1.701062E0,2.165955E1,-7.577580E0,-1.928236E1,3.274464E0
1.717904E0,2.165116E1,-7.542932E0,-1.920755E1,5.137104E0
1.734746E0,2.165522E1,-7.502726E0,-1.910929E1,5.007612E0
1.751589E0,2.163474E1,-7.465853E0,-1.903885E1,2.017043E0
1.768431E0,2.162855E1,-7.464768E0,-1.904134E1,-4.575393E0
1.785273E0,2.160505E1,-7.520711E0,-1.919299E1,-6.715478E0
1.802115E0,2.160521E1,-7.552316E0,-1.926758E1,-1.883453E0
1.818957E0,2.164516E1,-7.561561E0,-1.925644E1,-1.547945E0
1.835800E0,2.166416E1,-7.595057E0,-1.931973E1,-2.974888E0
1.852642E0,2.168270E1,-7.617257E0,-1.935667E1,2.160724E-1
1.869484E0,2.168559E1,-7.599475E0,-1.931245E1,2.136356E0
1.886326E0,2.167070E1,-7.582473E0,-1.928469E1,2.845542E0
1.903168E0,2.165903E1,-7.549501E0,-1.921659E1,4.398217E0
