Time	Position	Velocity	Acceleration	Position	Velocity	Acceleration
2.10	0.223	0.004	1.243	0.225	0.059	-0.006
2.12	0.227	0.045	0.414	0.225	0.028	-1.094
2.14	0.227	0.018	-0.440	0.226	0.002	-1.574
2.16	0.227	0.008	-0.490	0.226	-0.030	-1.925
2.18	0.227	-0.001	-0.410	0.225	-0.091	-1.357
2.20	0.227	-0.011	-0.148	0.221	-0.115	0.498
2.22	0.226	-0.011	0.242	0.219	-0.060	1.772
2.24	0.226	0.006	0.279	0.219	0.002	0.970
2.26	0.227	0.007	-0.017	0.221	-0.010	-0.489
2.28	0.227	-0.001	-0.111	0.219	-0.049	-0.617
2.30	0.227	0.004	-0.201	0.218	-0.041	-0.279
2.32	0.227	-0.002	-0.470	0.218	-0.060	0.296
2.34	0.227	-0.035	0.011	0.214	-0.034	1.224
2.36	0.224	0.001	0.269	0.217	-0.027	2.606
2.38	0.228	0.019	-1.169	0.211	0.065	3.761
2.40	0.228	-0.067	-1.617	0.218	0.210	0.959
2.42	0.224	-0.101	0.320	0.225	0.136	-3.323
2.44	0.221	-0.036	1.639	0.224	0.007	-4.412
2.46	0.223	-0.004	1.563	0.224	-0.080	-3.066
2.48	0.221	0.023	1.243	0.222	-0.157	0.507
2.50	0.224	0.056	0.242	0.214	-0.068	4.092
2.52	0.224	0.054	-1.462	0.217	0.097	3.264
2.54	0.228	-0.016	-2.259	0.221	0.125	-0.579
2.56	0.224	-0.100	-0.129	0.224	0.050	-3.437
2.58	0.220	-0.038	2.706	0.224	-0.088	-2.723
2.60	0.221	0.066	2.801	0.218	-0.096	0.137
2.62	0.224	0.124	0.318	0.220	-0.049	1.676
2.64	0.228	0.080	-2.326	0.216	-0.023	2.537
2.66	0.228	-0.005	-2.975	0.216	0.090	1.420
2.68	0.228	-0.095	-0.926	0.223	0.064	-1.024
2.70	0.222	-0.063	1.987	0.220	0.012	-1.715
2.72	0.224	0.062	1.596	0.223	-0.040	-0.765
2.74	0.228	0.032	-0.371	0.217	-0.040	1.119
2.76	0.225	-0.010	-0.169	0.220	0.062	0.543
2.78	0.225	0.033	-0.092	0.223	0.010	-1.353
2.80	0.229	-0.000	-0.532	0.220	-0.040	-1.330
2.82	0.224	-0.005	-0.396	0.220	-0.043	-1.053
2.84	0.228	0.015	-1.322	0.219	-0.089	-0.251
2.86	0.228	-0.086	-0.961	0.215	-0.070	1.159
2.88	0.222	-0.081	1.651	0.216	-0.012	1.252
2.90	0.222	0.050	1.472	0.216	-0.007	0.586
2.92	0.228	0.010	-0.191	0.215	-0.003	0.308
2.94	0.222	-0.019	0.331	0.215	0.032	-0.755
2.96	0.224	0.060	-0.383	0.220	-0.052	-1.000
2.98	0.229	-0.028	-1.084	0.211	-0.076	1.403
3.00	0.222	-0.061	1.162	0.212	0.091	0.630
3.02	0.222	0.071	1.262	0.222	-0.035	-0.699
3.04	0.229	0.045	-0.787	0.209	-0.075	3.076
3.06	0.225	-0.029	-0.220	0.212	0.182	2.684
3.08	0.224	0.022	0.823	0.222	0.161	-2.748
3.10	0.226	0.059	-0.187	0.222	-0.027	-4.101
3.12	0.229	0.027	-1.600	0.219	-0.123	-0.332
3.14	0.229	-0.075	-0.239	0.212	0.013	1.674
3.16	0.221	0.003	1.648	0.222	0.035	-0.125
3.18	0.229	0.080	-0.053	0.216	-0.039	-0.222
3.20	0.228	0.000	-1.695	0.218	-0.026	1.595
3.22	0.229	-0.072	0.011	0.213	0.063	1.773
3.24	0.222	0.001	1.762	0.222	0.121	-1.104
3.26	0.229	0.079	0.252	0.222	-0.019	-2.308
3.28	0.229	0.012	-1.402	0.219	-0.074	0.720
3.30	0.229	-0.044	-0.359	0.215	0.050	2.038
3.32	0.224	-0.007	1.035	0.223	0.104	-0.644
3.34	0.228	0.047	0.426	0.223	0.006	-2.680
3.36	0.228	0.016	-0.649	0.223	-0.090	-1.024
3.38	0.228	-0.004	-0.713	0.216	-0.033	0.969
3.40	0.228	-0.012	-0.559	0.223	-0.012	1.223
3.42	0.229	-0.038	0.154	0.216	-0.001	1.781
3.44	0.225	-0.011	0.992	0.220	0.093	0.877
3.46	0.228	0.032	0.515	0.223	0.056	-0.917
3.48	0.228	0.014	-0.232	0.223	0.015	-1.023
3.50	0.228	0.007	-0.430	0.222	0.006	-0.704
3.52	0.228	-0.002	-0.556	0.223	0.004	-0.839
3.54	0.228	-0.015	-0.509	0.223	-0.016	-1.233
3.56	0.228	-0.042	0.296	0.223	-0.089	0.104
3.58	0.225	-0.002	0.928	0.216	-0.034	2.040
3.60	0.228	0.032	-0.000	0.221	0.077	0.316
3.62	0.228	-0.001	-1.005	0.223	0.018	-2.770
3.64	0.228	-0.039	-0.761	0.223	-0.119	-2.164
3.66	0.225	-0.031	-0.255	0.216	-0.164	2.163
3.68	0.227	-0.037	-0.040	0.210	0.065	2.352
3.70	0.224	-0.073	1.671	0.224	0.079	-3.462
3.72	0.221	0.044	2.536	0.220	-0.201	-3.784
3.74	0.227	0.102	0.212	0.210	-0.225	2.600
3.76	0.228	0.036	-1.579	0.207	-0.036	6.612
3.78	0.228	-0.002	-1.535	0.209	0.145	5.312
3.80	0.227	-0.027	-0.959	0.214	0.259	-0.235
3.82	0.227	-0.060	0.496	0.225	0.134	-5.412
3.84	0.223	-0.005	1.620	0.222	-0.114	-3.409
3.86	0.227	0.056	0.470	0.213	-0.068	1.727
3.88	0.227	0.019	-0.918	0.217	0.061	2.421
3.90	0.227	-0.012	-0.920	0.218	0.107	-0.518
3.92	0.227	-0.042	0.189	0.225	0.012	-2.525
3.94	0.224	0.001	1.065	0.218	-0.078	-0.729
3.96	0.227	0.039	0.279	0.218	-0.018	1.428
3.98	0.227	0.011	-0.541	0.218	0.022	1.714
4.00	0.227	-0.008	-0.349	0.219	0.067	0.988
4.02	0.226	-0.006	0.079	0.222	0.066	-0.076
4.04	0.227	0.005	0.138	0.222	0.043	-0.246
4.06	0.227	0.004	-0.059	0.222	0.057	-0.520
4.08	0.227	0.002	-0.309	0.225	0.044	-1.570
4.10	0.227	-0.005	-0.669	0.225	-0.009	-2.215
4.12	0.227	-0.020	-1.063	0.225	-0.093	-0.697
4.14	0.227	-0.071	-0.342	0.219	-0.059	1.721
4.16	0.223	-0.056	1.293	0.222	0.030	1.722
4.18	0.224	0.007	1.688	0.222	0.047	0.044
4.20	0.224	0.042	0.681	0.225	0.006	-0.657
4.22	0.226	0.038	-0.556	0.222	-0.023	0.494
4.24	0.226	-0.014	-0.358	0.222	0.045	0.926
4.26	0.224	0.010	0.506	0.225	0.055	-0.337
4.28	0.227	0.037	0.138	0.225	0.012	-0.866
4.30	0.227	0.016	-0.319	0.224	-0.003	-0.419
4.32	0.227	0.011	-0.274	0.225	0.001	-0.072
4.34	0.227	0.007	-0.249	0.225	0.003	-0.174
4.36	0.227	0.003	-0.271	0.225	-0.000	-0.630
4.38	0.227	-0.003	-0.329	0.225	-0.016	-1.238
4.40	0.227	-0.014	-0.267	0.225	-0.066	-0.946
4.42	0.226	-0.013	-0.210	0.222	-0.084	0.724
4.44	0.227	-0.015	-0.347	0.220	-0.041	2.395
4.46	0.227	-0.040	0.075	0.219	0.058	1.931
4.48	0.224	-0.029	1.048	0.224	0.081	-0.535
4.50	0.224	0.034	0.580	0.224	-0.009	-1.286
4.52	0.227	0.030	-1.369	0.221	-0.001	-0.569
4.54	0.227	-0.057	-1.750	0.224	0.010	-1.226
4.56	0.223	-0.078	-0.199	0.224	-0.080	-0.808
4.58	0.223	-0.063	1.483	0.218	-0.032	-0.140
4.60	0.220	-0.024	3.008	0.224	-0.025	-1.668
4.62	0.220	0.108	2.078	0.220	-0.149	-1.197
4.64	0.228	0.113	-1.157	0.214	-0.123	1.268
4.66	0.227	-0.003	-1.736	0.213	-0.005	0.405
4.68	0.224	0.003	-0.403	0.221	-0.141	0.799
4.70	0.227	0.021	-0.396	0.202	-0.070	4.644
4.72	0.227	-0.024	-0.008	0.213	0.197	2.285
4.74	0.224	0.008	0.637	0.221	0.057	-1.714
4.76	0.227	0.038	-0.169	0.213	-0.008	-0.337
4.78	0.228	0.004	-0.949	0.216	0.097	-0.610
4.80	0.228	-0.045	0.087	0.223	-0.036	-0.510
4.82	0.224	0.002	1.330	0.210	0.023	1.258
4.84	0.228	0.057	0.531	0.223	0.111	-0.864
4.86	0.228	0.028	-0.600	0.220	-0.002	-3.005
4.88	0.228	0.011	-0.926	0.223	-0.126	-0.342
4.90	0.228	-0.009	-0.986	0.209	-0.023	2.830
4.92	0.228	-0.026	-0.850	0.222	0.079	2.028
4.94	0.228	-0.082	0.777	0.215	0.061	0.468
4.96	0.221	0.004	2.250	0.223	0.106	-1.560
4.98	0.228	0.088	0.194	0.223	-0.001	-3.285
5.00	0.229	0.011	-1.940	0.223	-0.097	-1.879
5.02	0.228	-0.030	-2.060	0.215	-0.060	-0.863
