Time	Position	Velocity	Acceleration	Position	Velocity	Acceleration
0.00	0.253	0.027	-0.442	0.236	0.120	-4.076
0.02	0.253	0.018	-0.407	0.240	0.039	-3.524
0.04	0.254	0.008	-0.320	0.240	-0.057	-2.011
0.06	0.254	0.005	-0.213	0.236	-0.083	0.981
0.08	0.254	0.002	-0.177	0.233	0.032	1.759
0.10	0.254	-0.004	-0.070	0.240	0.042	-0.034
0.12	0.253	-0.003	0.088	0.236	0.010	-1.057
0.14	0.254	0.002	0.115	0.240	-0.019	-1.143
0.16	0.254	0.004	0.043	0.236	-0.074	0.592
0.18	0.254	0.004	-0.043	0.233	0.027	1.444
0.20	0.254	0.002	-0.115	0.240	0.016	0.777
0.22	0.254	-0.003	-0.092	0.233	0.031	0.962
0.24	0.254	-0.004	0.048	0.240	0.086	-0.304
0.26	0.254	0.001	0.094	0.240	0.023	-1.639
0.28	0.254	0.003	-0.009	0.240	-0.004	-1.809
0.30	0.254	0.000	-0.110	0.240	-0.061	-1.221
0.32	0.254	-0.002	-0.218	0.236	-0.074	0.340
0.34	0.254	-0.008	-0.390	0.236	-0.028	0.981
0.36	0.253	-0.015	-0.660	0.236	-0.011	0.582
0.38	0.253	-0.029	-1.024	0.236	-0.013	0.327
0.40	0.253	-0.069	-0.705	0.235	-0.008	0.429
0.42	0.250	-0.079	0.521	0.235	0.030	-0.460
0.44	0.249	-0.042	1.421	0.239	-0.037	-0.841
0.46	0.248	0.013	0.750	0.232	-0.028	-0.161
0.48	0.251	-0.008	-0.302	0.238	-0.035	0.188
0.50	0.247	-0.020	-0.468	0.230	-0.019	0.399
0.52	0.250	-0.011	-1.083	0.237	0.007	-0.550
0.54	0.249	-0.086	-0.763	0.232	-0.045	-1.186
0.56	0.244	-0.057	0.194	0.235	-0.082	-0.171
0.58	0.247	-0.036	-0.470	0.227	-0.047	0.708
0.60	0.245	-0.100	-0.207	0.233	-0.002	-0.470
0.62	0.240	-0.063	0.602	0.230	-0.102	-0.279
0.64	0.242	-0.030	-0.495	0.225	-0.029	0.522
0.66	0.241	-0.072	-1.898	0.231	-0.043	-0.305
0.68	0.240	-0.140	-1.716	0.223	-0.054	-0.468
0.70	0.235	-0.187	0.518	0.228	-0.050	-0.902
0.72	0.229	-0.103	2.064	0.224	-0.155	1.322
0.74	0.231	-0.044	1.033	0.216	0.005	3.195
0.76	0.230	-0.075	0.318	0.226	0.087	0.162
0.78	0.227	-0.067	0.846	0.224	-0.010	-2.333
0.80	0.226	-0.012	0.161	0.223	-0.053	-2.872
0.82	0.228	-0.029	-1.744	0.222	-0.109	-3.256
0.84	0.226	-0.103	-2.559	0.221	-0.227	-1.375
0.86	0.224	-0.187	-0.812	0.210	-0.221	2.760
0.88	0.216	-0.154	1.799	0.209	-0.056	4.160
0.90	0.217	-0.056	1.887	0.210	0.012	2.222
0.92	0.216	-0.053	0.680	0.210	0.028	0.088
0.94	0.215	-0.062	0.595	0.212	0.022	-2.105
0.96	0.212	-0.030	0.502	0.214	-0.117	-1.372
0.98	0.214	-0.015	-0.582	0.203	-0.063	0.838
1.00	0.213	-0.058	-1.397	0.212	-0.039	1.222
1.02	0.212	-0.109	-0.575	0.201	-0.011	1.311
1.04	0.207	-0.080	0.305	0.211	0.027	0.396
1.06	0.209	-0.073	0.140	0.203	0.003	-0.506
1.08	0.204	-0.070	-0.241	0.210	0.038	-2.453
1.10	0.207	-0.081	-0.619	0.210	-0.133	-2.429
1.12	0.202	-0.133	0.689	0.201	-0.138	0.970
1.14	0.199	-0.053	1.969	0.202	-0.060	2.885
1.16	0.201	-0.019	1.633	0.198	0.053	1.476
1.18	0.198	0.023	0.728	0.208	0.001	-0.428
1.20	0.203	0.015	-0.422	0.197	-0.005	-0.646
1.22	0.199	-0.036	0.257	0.208	-0.017	-0.995
1.24	0.199	0.031	0.749	0.197	-0.057	-0.524
1.26	0.202	0.025	-0.062	0.204	-0.037	-0.085
1.28	0.200	0.015	-0.387	0.197	-0.080	1.068
1.30	0.202	0.019	-1.063	0.197	0.027	1.296
1.32	0.202	-0.043	-0.804	0.201	0.008	0.051
1.34	0.199	-0.044	0.843	0.198	-0.017	0.571
1.36	0.200	-0.010	2.382	0.198	0.021	1.310
1.38	0.198	0.087	2.184	0.198	0.091	-0.059
1.40	0.204	0.126	-0.212	0.205	0.023	-1.484
1.42	0.205	0.055	-1.574	0.199	-0.046	0.345
1.44	0.206	0.008	-0.596	0.200	0.034	2.204
1.46	0.204	0.035	0.396	0.201	0.109	1.143
1.48	0.207	0.069	-0.334	0.206	0.121	-1.719
1.50	0.209	0.008	-0.494	0.209	-0.010	-2.352
1.52	0.206	0.006	1.093	0.203	-0.045	0.339
1.54	0.208	0.066	1.948	0.205	0.029	2.196
1.56	0.209	0.127	0.874	0.205	0.074	2.533
1.58	0.214	0.122	-1.092	0.207	0.142	1.902
1.60	0.216	0.036	-0.994	0.212	0.174	0.121
1.62	0.213	0.039	0.945	0.215	0.139	-1.236
1.64	0.215	0.123	0.913	0.217	0.097	-1.421
1.66	0.221	0.118	-0.829	0.219	0.072	-1.036
1.68	0.222	0.040	-0.592	0.220	0.080	-1.416
1.70	0.220	0.058	1.136	0.224	-0.002	-0.913
1.72	0.223	0.132	0.919	0.217	0.006	1.165
1.74	0.227	0.126	-0.693	0.223	0.067	2.103
