Time	Position	Velocity	Acceleration	Position	Velocity	Acceleration
0.00	0.227	-0.001	-0.013	0.229	0.004	-0.154
0.02	0.227	-0.003	0.034	0.229	0.000	-0.096
0.04	0.226	-0.000	0.070	0.229	-0.001	-0.011
0.06	0.227	0.001	0.087	0.229	0.001	0.017
0.08	0.226	0.003	0.091	0.229	0.000	0.002
0.10	0.227	0.005	0.082	0.229	-0.000	0.049
0.12	0.227	0.006	0.087	0.229	0.004	0.004
0.14	0.227	0.010	0.010	0.229	0.002	-0.122
0.16	0.227	0.008	-0.118	0.229	-0.004	-0.091
0.18	0.227	0.004	-0.172	0.229	-0.004	0.026
0.20	0.227	-0.002	-0.107	0.229	-0.001	0.066
0.22	0.227	-0.002	0.030	0.229	0.000	0.056
0.24	0.227	0.002	0.081	0.229	0.001	0.045
0.26	0.227	0.002	0.075	0.229	0.002	0.012
0.28	0.227	0.005	0.053	0.229	0.001	-0.012
0.30	0.227	0.007	-0.084	0.229	0.001	0.002
0.32	0.228	-0.001	-0.128	0.229	0.002	-0.025
0.34	0.227	-0.002	0.001	0.229	0.000	-0.044
0.36	0.227	0.000	0.097	0.229	-0.002	0.016
0.38	0.227	0.004	0.090	0.229	0.001	0.063
0.40	0.228	0.006	-0.026	0.229	0.004	-0.020
0.42	0.228	0.003	-0.136	0.229	0.000	-0.102
0.44	0.228	-0.002	-0.108	0.229	-0.004	-0.018
0.46	0.227	-0.004	0.050	0.229	-0.001	0.072
0.48	0.227	0.002	0.121	0.229	0.002	0.035
0.50	0.228	0.004	0.044	0.229	0.001	-0.019
0.52	0.228	0.004	-0.058	0.229	0.000	-0.045
0.54	0.228	0.001	-0.153	0.229	-0.001	-0.071
0.56	0.228	-0.005	-0.110	0.229	-0.002	-0.084
0.58	0.227	-0.006	0.057	0.229	-0.007	0.029
0.60	0.227	-0.001	0.133	0.229	-0.002	0.183
0.62	0.227	0.003	0.062	0.229	0.006	0.099
0.64	0.228	0.003	-0.075	0.229	0.002	-0.025
0.66	0.228	-0.001	-0.161	0.229	0.001	-0.024
0.68	0.228	-0.007	-0.098	0.229	0.002	-0.047
0.70	0.227	-0.008	0.097	0.229	0.000	-0.076
0.72	0.227	-0.001	0.201	0.229	-0.002	-0.046
0.74	0.227	0.005	0.076	0.229	-0.002	-0.011
0.76	0.227	0.003	-0.107	0.229	-0.003	0.028
0.78	0.227	-0.001	-0.197	0.229	-0.002	0.101
0.80	0.227	-0.008	-0.114	0.229	0.004	0.059
0.82	0.227	-0.007	0.046	0.229	0.001	-0.022
0.84	0.227	-0.003	0.072	0.229	0.001	-0.025
0.86	0.227	-0.005	0.073	0.229	0.001	-0.053
0.88	0.227	0.000	0.018	0.229	-0.002	-0.026
0.90	0.227	-0.002	-0.100	0.229	-0.002	0.077
0.92	0.227	-0.007	-0.065	0.229	0.003	0.092
0.94	0.227	-0.008	0.107	0.229	0.005	-0.023
0.96	0.226	-0.001	0.207	0.229	0.001	-0.102
0.98	0.227	0.006	0.062	0.229	-0.002	-0.058
1.00	0.227	0.000	-0.056	0.229	-0.001	-0.019
1.02	0.227	0.002	-0.080	0.229	-0.001	-0.034
1.04	0.227	-0.002	-0.118	0.229	-0.003	-0.020
1.06	0.227	-0.007	0.002	0.229	-0.003	0.041
1.08	0.226	-0.001	0.106	0.229	-0.001	0.066
1.10	0.227	0.002	0.026	0.229	0.000	0.043
1.12	0.227	-0.000	-0.078	0.229	0.002	-0.018
1.14	0.227	-0.002	-0.133	0.229	-0.000	-0.061
1.16	0.227	-0.008	-0.042	0.229	-0.004	0.023
1.18	0.226	-0.006	0.127	0.229	0.001	0.071
1.20	0.226	0.001	0.120	0.229	0.002	-0.001
1.22	0.226	0.002	-0.017	0.229	-0.001	0.007
1.24	0.226	-0.002	-0.078	0.229	0.002	0.022
1.26	0.226	-0.003	-0.050	0.229	0.001	-0.005
1.28	0.226	-0.003	-0.051	0.229	0.002	-0.035
1.30	0.226	-0.006	-0.009	0.229	-0.000	-0.062
1.32	0.226	-0.005	0.123	0.229	-0.003	0.021
1.34	0.226	0.001	0.155	0.229	0.003	0.013
1.36	0.226	0.002	0.103	0.229	-0.000	-0.072
1.38	0.226	0.006	-0.010	0.229	-0.004	0.006
