Time	Position	Velocity	Acceleration	Position	Velocity	Acceleration
0.00	0.273	0.003	-0.144	0.193	-0.001	-0.047
0.02	0.273	-0.002	-0.035	0.193	-0.003	-0.027
0.04	0.273	-0.001	0.093	0.193	-0.002	-0.020
0.06	0.273	0.005	0.103	0.193	-0.004	-0.010
0.08	0.273	0.005	0.023	0.193	-0.005	0.079
0.10	0.273	0.005	-0.035	0.193	0.001	0.086
0.12	0.273	0.005	-0.124	0.193	0.002	-0.017
0.14	0.274	-0.002	-0.122	0.193	-0.002	-0.017
0.16	0.273	-0.004	0.039	0.193	-0.002	0.095
0.18	0.273	0.002	0.114	0.193	0.003	0.146
0.20	0.273	0.004	0.042	0.193	0.007	0.062
0.22	0.273	0.004	-0.058	0.193	0.007	-0.086
0.24	0.274	0.001	-0.155	0.193	0.003	-0.191
0.26	0.274	-0.005	-0.121	0.193	-0.003	-0.155
0.28	0.273	-0.006	0.028	0.193	-0.007	0.033
0.30	0.273	-0.002	0.084	0.193	-0.000	0.147
0.32	0.273	-0.000	0.034	0.193	0.005	-0.008
0.34	0.273	-0.000	-0.034	0.193	-0.002	-0.117
0.36	0.273	-0.002	-0.084	0.193	-0.005	0.010
0.38	0.273	-0.006	-0.031	0.193	-0.002	0.153
0.40	0.273	-0.005	0.104	0.193	0.005	0.114
0.42	0.273	0.001	0.099	0.193	0.007	-0.105
0.44	0.273	0.002	-0.068	0.193	-0.003	-0.164
0.46	0.273	-0.002	-0.210	0.193	-0.004	-0.050
0.48	0.273	-0.009	-0.200	0.193	-0.003	0.004
0.50	0.273	-0.016	0.065	0.193	-0.005	0.107
0.52	0.272	-0.005	0.262	0.193	0.001	0.230
0.54	0.273	0.004	0.055	0.193	0.007	0.246
0.56	0.273	-0.003	-0.205	0.193	0.012	0.214
0.58	0.272	-0.008	-0.310	0.193	0.014	0.235
0.60	0.272	-0.015	-0.379	0.193	0.020	0.311
0.62	0.272	-0.025	-0.375	0.194	0.029	0.291
0.64	0.271	-0.032	-0.293	0.195	0.035	0.089
0.66	0.270	-0.035	-0.255	0.196	0.032	-0.056
0.68	0.270	-0.040	-0.317	0.196	0.029	0.069
0.70	0.269	-0.048	-0.401	0.197	0.019	0.839
0.72	0.268	-0.057	-0.449	0.196	0.065	1.440
0.74	0.267	-0.067	-0.413	0.200	0.105	0.816
0.76	0.265	-0.075	-0.303	0.201	0.096	0.189
0.78	0.264	-0.078	-0.246	0.203	0.100	0.064
0.80	0.262	-0.083	-0.284	0.205	0.096	0.109
0.82	0.260	-0.090	-0.326	0.207	0.105	0.147
0.84	0.258	-0.096	-0.344	0.209	0.108	-0.110
0.86	0.257	-0.105	-0.286	0.211	0.102	-0.354
0.88	0.254	-0.109	-0.157	0.214	0.089	-0.279
0.90	0.252	-0.109	-0.119	0.215	0.071	0.602
0.92	0.250	-0.112	-0.178	0.215	0.116	1.219
0.94	0.248	-0.116	-0.247	0.220	0.156	0.273
0.96	0.245	-0.122	-0.296	0.223	0.130	-0.776
0.98	0.243	-0.130	-0.231	0.225	0.085	-0.129
1.00	0.240	-0.134	-0.063	0.224	0.115	1.001
1.02	0.237	-0.131	-0.000	0.229	0.161	0.616
1.04	0.235	-0.131	-0.078	0.232	0.148	-0.260
1.06	0.232	-0.134	-0.151	0.235	0.135	-0.545
1.08	0.229	-0.139	-0.107	0.238	0.121	-0.489
1.10	0.227	-0.140	0.019	0.240	0.116	-0.382
1.12	0.224	-0.137	0.092	0.242	0.107	-0.368
1.14	0.221	-0.134	0.062	0.244	0.099	-0.274
1.16	0.218	-0.134	-0.029	0.246	0.098	-0.251
1.18	0.216	-0.135	-0.096	0.248	0.091	-0.283
1.20	0.213	-0.140	-0.024	0.250	0.081	-0.068
1.22	0.210	-0.141	0.257	0.251	0.089	0.079
1.24	0.207	-0.127	0.414	0.253	0.095	-0.287
1.26	0.205	-0.117	0.240	0.255	0.080	-0.788
1.28	0.203	-0.118	0.060	0.257	0.060	-1.242
1.30	0.200	-0.118	0.012	0.258	0.032	-1.630
1.32	0.198	-0.120	0.087	0.258	0.000	-1.857
1.34	0.196	-0.119	0.341	0.260	-0.097	0.152
1.36	0.193	-0.101	0.339	0.250	-0.015	2.652
1.38	0.192	-0.094	-0.079	0.257	0.131	-0.019
1.40	0.190	-0.105	-0.359	0.262	0.007	-3.536
1.42	0.188	-0.137	0.508	0.258	-0.136	-1.813
1.44	0.182	-0.087	1.454	0.252	-0.091	1.374
1.46	0.185	-0.035	0.599	0.254	-0.005	1.605
1.48	0.183	-0.079	0.306	0.254	-0.031	1.600
1.50	0.179	-0.047	0.937	0.250	0.049	1.739
1.52	0.181	-0.012	0.435	0.258	0.068	0.594
1.54	0.180	-0.029	-0.079	0.253	0.062	-0.183
1.56	0.180	-0.032	0.064	0.259	0.075	-1.572
1.58	0.179	-0.028	0.343	0.259	-0.012	-2.317
1.60	0.178	-0.015	0.492	0.258	-0.046	-1.830
1.62	0.178	-0.005	0.457	0.256	-0.075	-1.565
1.64	0.178	0.004	0.383	0.255	-0.099	-1.469
1.66	0.178	0.011	0.312	0.254	-0.169	0.040
1.68	0.179	0.015	0.333	0.245	-0.103	1.713
1.70	0.179	0.021	0.485	0.250	-0.051	1.154
1.72	0.179	0.035	0.574	0.244	-0.056	0.292
1.74	0.180	0.046	0.561	0.247	-0.034	-0.868
1.76	0.181	0.059	0.474	0.245	-0.093	-1.697
1.78	0.183	0.070	0.218	0.243	-0.145	-0.593
1.80	0.184	0.061	0.255	0.237	-0.116	0.570
1.82	0.185	0.071	0.663	0.239	-0.093	0.375
1.84	0.187	0.097	0.669	0.234	-0.093	-0.312
1.86	0.189	0.107	0.175	0.235	-0.089	-1.647
1.88	0.191	0.104	-0.358	0.233	-0.204	-0.915
1.90	0.193	0.092	-0.659	0.223	-0.148	0.965
1.92	0.196	0.056	0.106	0.228	-0.139	1.519
1.94	0.195	0.070	1.880	0.216	-0.081	1.650
1.96	0.197	0.166	2.072	0.224	-0.001	-1.121
1.98	0.203	0.196	0.351	0.223	-0.201	-0.751
2.00	0.206	0.160	-0.638	0.209	-0.098	2.396
2.02	0.209	0.146	-0.505	0.219	-0.005	1.466
2.04	0.211	0.139	-0.141	0.212	-0.040	0.342
2.06	0.214	0.141	0.190	0.215	-0.006	-0.422
2.08	0.217	0.151	0.264	0.214	-0.057	-0.921
2.10	0.220	0.156	0.130	0.212	-0.065	-0.343
2.12	0.223	0.156	0.010	0.211	-0.064	-0.025
