Time	Position	Velocity	Acceleration	Position	Velocity	Acceleration
0.00	0.285	-0.058	-0.096	0.180	0.021	-1.057
0.02	0.284	-0.058	-0.220	0.181	-0.008	-0.587
0.04	0.283	-0.062	-0.409	0.180	-0.009	-0.103
0.06	0.282	-0.077	-0.488	0.181	-0.006	0.147
0.08	0.280	-0.086	-0.376	0.180	-0.002	0.319
0.10	0.278	-0.090	-0.363	0.181	0.006	0.489
0.12	0.276	-0.099	-0.454	0.180	0.018	0.662
0.14	0.274	-0.109	-0.579	0.182	0.030	0.911
0.16	0.272	-0.119	-0.810	0.181	0.053	1.165
0.18	0.270	-0.138	-1.066	0.183	0.094	0.692
0.20	0.267	-0.181	-0.449	0.186	0.079	0.416
0.22	0.261	-0.162	0.447	0.186	0.089	1.118
0.24	0.261	-0.150	0.669	0.189	0.108	2.316
0.26	0.255	-0.127	0.430	0.188	0.207	2.183
0.28	0.256	-0.110	-0.726	0.198	0.254	-0.592
0.30	0.252	-0.183	-0.753	0.202	0.171	-2.766
0.32	0.246	-0.162	0.041	0.205	0.088	-2.271
0.34	0.246	-0.138	-0.854	0.204	0.048	-0.027
0.36	0.242	-0.186	-2.014	0.205	0.095	2.020
0.38	0.239	-0.274	-0.773	0.208	0.160	2.406
0.40	0.229	-0.240	1.553	0.212	0.201	1.941
0.42	0.229	-0.177	2.172	0.215	0.272	-0.084
0.44	0.221	-0.118	1.028	0.226	0.195	-1.922
0.46	0.225	-0.099	-1.608	0.222	0.139	-1.157
0.48	0.221	-0.246	-1.398	0.230	0.149	-0.019
0.50	0.211	-0.219	1.607	0.229	0.133	1.413
0.52	0.211	-0.120	2.075	0.234	0.204	2.469
0.54	0.209	-0.096	0.641	0.237	0.287	0.817
0.56	0.208	-0.105	-0.626	0.247	0.273	-2.406
0.58	0.205	-0.141	-0.898	0.250	0.151	-3.597
0.60	0.202	-0.155	-0.378	0.253	0.054	-1.233
0.62	0.198	-0.152	0.022	0.250	0.075	2.278
0.64	0.196	-0.148	0.163	0.253	0.224	2.297
0.66	0.192	-0.146	0.285	0.262	0.235	-0.792
0.68	0.190	-0.137	0.424	0.265	0.131	-1.542
0.70	0.187	-0.128	0.501	0.264	0.131	-0.429
0.72	0.184	-0.116	0.545	0.270	0.152	-0.581
0.74	0.182	-0.106	0.631	0.272	0.114	-1.006
