Time	Position	Velocity	Acceleration	Position	Velocity	Acceleration
0.00	0.281	-0.072	-0.211	0.181	-0.003	-0.369
0.02	0.280	-0.096	0.681	0.181	-0.010	-0.268
0.04	0.275	-0.049	1.176	0.181	-0.026	0.170
0.06	0.278	-0.011	0.153	0.179	-0.013	0.990
0.08	0.276	-0.050	-0.645	0.180	0.029	1.107
0.10	0.275	-0.056	-0.674	0.181	0.046	0.516
0.12	0.274	-0.073	-0.722	0.182	0.048	-0.045
0.14	0.273	-0.086	-0.638	0.183	0.027	0.134
0.16	0.271	-0.100	-0.521	0.182	0.051	0.494
0.18	0.268	-0.108	-0.359	0.186	0.062	0.189
0.20	0.266	-0.110	-0.453	0.185	0.054	0.045
0.22	0.264	-0.121	-0.704	0.187	0.068	-0.176
0.24	0.262	-0.138	-0.824	0.189	0.035	0.257
0.26	0.259	-0.180	0.098	0.188	0.055	1.637
0.28	0.252	-0.136	0.966	0.190	0.119	1.928
0.30	0.254	-0.094	-0.110	0.192	0.174	0.341
0.32	0.251	-0.141	-1.099	0.199	0.158	-2.049
0.34	0.248	-0.188	-0.082	0.202	0.011	-0.818
0.36	0.241	-0.145	1.003	0.195	0.061	3.020
0.38	0.243	-0.101	0.183	0.202	0.225	2.863
0.40	0.239	-0.141	-0.609	0.207	0.248	-0.439
0.42	0.236	-0.150	-0.433	0.214	0.150	-1.554
0.44	0.233	-0.156	-0.252	0.211	0.122	0.083
0.46	0.230	-0.157	-0.146	0.217	0.192	0.429
0.48	0.227	-0.162	-0.035	0.221	0.175	-0.644
0.50	0.223	-0.159	0.125	0.225	0.126	-0.219
0.52	0.220	-0.156	0.206	0.224	0.150	0.883
0.54	0.217	-0.150	0.188	0.230	0.194	0.675
0.56	0.214	-0.143	-0.110	0.233	0.184	0.113
0.58	0.211	-0.156	-0.287	0.237	0.186	-0.007
0.60	0.208	-0.161	-0.103	0.241	0.175	0.147
0.62	0.205	-0.172	0.594	0.243	0.202	-0.156
0.64	0.200	-0.134	1.112	0.250	0.197	-1.541
0.66	0.200	-0.099	0.393	0.253	0.114	-1.667
0.68	0.197	-0.122	-0.202	0.253	0.090	-0.054
0.70	0.195	-0.129	0.101	0.255	0.125	1.040
0.72	0.192	-0.117	0.432	0.258	0.169	0.473
0.74	0.190	-0.102	0.385	0.264	0.148	-0.407
0.76	0.188	-0.100	0.238	0.264	0.132	-0.479
0.78	0.186	-0.096	0.214	0.269	0.122	-0.279
0.80	0.184	-0.093	0.269	0.268	0.145	-0.908
0.82	0.182	-0.087	0.424	0.276	0.095	-1.876
0.84	0.181	-0.075	0.531	0.272	0.016	-0.575
0.86	0.179	-0.065	0.649	0.274	0.086	0.339
0.88	0.178	-0.052	0.910	0.278	0.043	0.666
0.90	0.177	-0.032	1.249	0.273	0.094	1.396
0.92	0.176	0.010	0.994	0.281	0.152	-0.171
