Time	Position	Velocity	Acceleration	Position	Velocity	Acceleration
0.00	0.181	-0.012	0.259	0.215	-0.013	0.045
0.02	0.181	-0.006	0.206	0.214	-0.015	0.261
0.04	0.181	-0.001	0.079	0.214	-0.008	0.643
0.06	0.181	-0.003	-0.056	0.214	0.009	0.946
0.08	0.181	-0.005	-0.099	0.214	0.027	1.160
0.10	0.181	-0.006	-0.166	0.214	0.094	-0.259
0.12	0.181	-0.014	-0.092	0.221	0.020	-1.787
0.14	0.180	-0.007	-0.072	0.214	-0.032	-0.895
0.16	0.181	-0.024	0.162	0.218	-0.011	0.051
0.18	0.178	-0.004	0.487	0.215	-0.033	1.132
0.20	0.181	0.022	-0.258	0.214	0.048	1.437
0.22	0.181	-0.027	-0.490	0.218	0.064	-0.094
0.24	0.178	-0.018	0.181	0.218	0.020	-0.699
0.26	0.180	-0.005	0.324	0.218	0.036	-1.248
0.28	0.178	-0.013	0.737	0.222	-0.040	-1.262
0.30	0.178	0.036	0.553	0.214	-0.024	-0.675
0.32	0.181	0.020	-0.039	0.222	-0.042	-0.798
0.34	0.179	0.014	0.275	0.214	-0.121	1.751
0.36	0.181	0.024	0.854	0.212	0.018	4.291
0.38	0.180	0.055	1.063	0.214	0.161	2.024
0.40	0.183	0.095	0.026	0.222	0.134	-1.812
0.42	0.185	0.059	-1.084	0.222	0.008	-2.312
0.44	0.186	0.016	-0.581	0.220	-0.015	-0.281
0.46	0.185	0.020	0.729	0.219	0.045	-0.163
0.48	0.186	0.060	1.453	0.223	0.038	-2.377
0.50	0.187	0.093	1.333	0.224	-0.086	-2.873
0.52	0.190	0.120	0.803	0.219	-0.181	0.990
0.54	0.192	0.139	-0.178	0.211	-0.033	4.179
0.56	0.197	0.079	0.228	0.218	0.121	1.683
0.58	0.193	0.127	1.425	0.222	0.033	-1.127
0.60	0.202	0.196	0.174	0.218	-0.028	-0.022
0.62	0.204	0.136	-1.115	0.216	0.080	-0.487
0.64	0.206	0.104	-0.527	0.226	0.015	-2.942
0.66	0.207	0.108	0.359	0.219	-0.153	-0.654
0.68	0.210	0.160	-0.316	0.213	-0.056	3.504
0.70	0.216	0.106	-1.250	0.216	0.095	3.251
0.72	0.214	0.047	0.390	0.221	0.091	1.579
0.74	0.215	0.107	2.397	0.218	0.143	0.068
0.76	0.217	0.226	0.871	0.228	0.141	-2.882
0.78	0.228	0.180	-2.188	0.228	-0.040	-2.715
0.80	0.226	0.051	-1.492	0.222	-0.049	0.861
0.82	0.226	0.057	1.973	0.223	0.080	1.125
0.84	0.226	0.191	2.821	0.230	0.030	-0.242
0.86	0.236	0.244	0.205	0.223	0.022	0.058
0.88	0.238	0.194	-2.298	0.229	0.055	-0.544
0.90	0.245	0.099	-2.345	0.227	-0.005	-0.793
0.92	0.241	0.045	0.271	0.227	0.021	-0.874
0.94	0.243	0.146	1.537	0.230	-0.045	-0.713
0.96	0.249	0.138	1.124	0.223	-0.034	0.604
