Time	Position	Velocity	Acceleration	Position	Velocity	Acceleration
0.00	0.257	-0.019	-0.187	0.248	-0.124	1.766
0.02	0.257	-0.041	0.691	0.245	-0.080	1.179
0.04	0.253	0.002	1.262	0.245	-0.059	0.409
0.06	0.257	0.047	0.381	0.244	-0.083	0.415
0.08	0.257	0.016	-0.511	0.241	-0.060	1.148
0.10	0.257	0.002	-0.437	0.241	-0.017	1.046
0.12	0.257	-0.004	-0.118	0.241	-0.006	0.421
0.14	0.257	0.002	0.078	0.241	-0.009	0.135
0.16	0.257	0.004	0.010	0.240	-0.010	0.251
0.18	0.257	0.003	-0.113	0.240	0.003	0.326
0.20	0.257	-0.001	-0.226	0.241	0.008	0.206
0.22	0.257	-0.012	-0.075	0.240	0.010	0.084
0.24	0.256	-0.007	0.206	0.241	0.013	-0.131
0.26	0.257	0.003	0.203	0.241	0.007	-0.376
0.28	0.256	0.003	0.093	0.242	-0.008	-0.327
0.30	0.257	0.007	-0.063	0.241	-0.014	0.075
0.32	0.257	0.000	-0.197	0.241	-0.001	0.299
0.34	0.257	-0.005	-0.134	0.241	0.006	0.122
0.36	0.257	-0.005	-0.054	0.241	0.002	-0.038
0.38	0.257	-0.005	-0.055	0.241	0.005	-0.208
0.40	0.256	-0.007	-0.103	0.242	-0.004	-0.407
0.42	0.256	-0.008	-0.233	0.241	-0.020	-0.205
0.44	0.256	-0.014	-0.420	0.240	-0.013	0.013
0.46	0.256	-0.030	-0.366	0.240	-0.012	-0.083
0.48	0.255	-0.032	-0.169	0.240	-0.016	-0.203
0.50	0.255	-0.030	-0.228	0.240	-0.022	-0.284
0.52	0.254	-0.042	-0.290	0.239	-0.028	-0.349
0.54	0.253	-0.045	-0.239	0.239	-0.036	-0.391
0.56	0.252	-0.047	-0.353	0.238	-0.043	-0.431
0.58	0.251	-0.061	-0.407	0.237	-0.050	-0.634
0.60	0.249	-0.068	-0.252	0.236	-0.071	-0.711
0.62	0.248	-0.068	-0.186	0.234	-0.079	-0.610
