Red:Wavelength(nm),Red:Intensity,Blue:Wavelength(nm),Blue:Intensity,Orange:Wavelength(nm),Orange:Intensity,Yellow:Wavelength(nm),Yellow:Intensity,Green:Wavelength(nm),Green:Intensity,White Blue:Wavelength(nm),White Blue:Intensity,Red 2:Wavelength(nm),Red 2:Intensity,Red 3:Wavelength(nm),Red 3:Intensity,Red 4:Wavelength(nm),Red 4:Intensity
514.6,0.001246,514.6,0.003986,514.6,0.001793,514.6,0.001556,514.6,0.000647,514.6,0.0126,514.6,0.001112,514.6,0.001279,514.6,0.00121
515.4,0.000931,515.4,0.004323,515.4,0.001668,515.4,0.001733,515.4,0.000455,515.4,0.013034,515.4,0.000547,515.4,0.001259,515.4,0.001033
516.2,0.000406,516.2,0.003641,516.2,0.001238,516.2,0.000318,516.2,0.000351,516.2,0.013029,516.2,0.000106,516.2,0.000832,516.2,0.000156
517,0.000205,517,0.004099,517,0.001676,517,0.000533,517,0.000349,517,0.013104,517,-9.06E-05,517,0.00047,517,0.000677
517.8,-0.0005,517.8,0.003512,517.8,0.001062,517.8,-9.06E-06,517.8,3.66E-05,517.8,0.012278,517.8,-0.00029,517.8,1.20E-06,517.8,0.000391
518.7,2.44E-05,518.7,0.003652,518.7,0.001667,518.7,0.000791,518.7,-0.00021,518.7,0.011934,518.7,-0.00024,518.7,0.000141,518.7,0.000969
519.5,-0.00018,519.5,0.002953,519.5,0.001301,519.5,0.000966,519.5,0.000358,519.5,0.012386,519.5,-0.00018,519.5,0.000694,519.5,0.000901
520.3,0.000214,520.3,0.002989,520.3,0.001757,520.3,0.001322,520.3,0.000493,520.3,0.012814,520.3,3.05E-05,520.3,0.000672,520.3,0.000808
521.1,-0.00023,521.1,0.002687,521.1,0.00158,521.1,0.001191,521.1,0.001094,521.1,0.012865,521.1,-3.38E-05,521.1,0.000875,521.1,0.000656
521.9,0.000352,521.9,0.00295,521.9,0.002105,521.9,0.001381,521.9,0.001166,521.9,0.012742,521.9,0.000174,521.9,0.000639,521.9,0.000698
522.7,-6.10E-05,522.7,0.002549,522.7,0.002237,522.7,0.000765,522.7,0.000982,522.7,0.012721,522.7,0.000335,522.7,0.00022,522.7,0.000561
523.5,0.000341,523.5,0.003311,523.5,0.001979,523.5,0.000785,523.5,0.00082,523.5,0.012938,523.5,0.001021,523.5,0.000356,523.5,0.000779
524.3,0.000382,524.3,0.003777,524.3,0.001781,524.3,0.000869,524.3,0.000799,524.3,0.012717,524.3,0.001017,524.3,0.000292,524.3,0.00144
525.2,0.001066,525.2,0.004549,525.2,0.001876,525.2,0.001142,525.2,0.001372,525.2,0.012299,525.2,0.001,525.2,0.000815,525.2,0.002456
526,0.001216,526,0.004279,526,0.002532,526,0.001796,526,0.00162,526,0.012383,526,0.000201,526,0.000971,526,0.002729
526.8,0.000741,526.8,0.003709,526.8,0.002361,526.8,0.000923,526.8,0.001162,526.8,0.012201,526.8,-8.93E-05,526.8,0.001032,526.8,0.00208
527.6,0.00034,527.6,0.002559,527.6,0.00226,527.6,0.000941,527.6,0.000439,527.6,0.011077,527.6,-0.00015,527.6,0.00052,527.6,0.001372
528.4,0.000429,528.4,0.001684,528.4,0.001701,528.4,0.000558,528.4,2.41E-05,528.4,0.010802,528.4,0.000497,528.4,0.000108,528.4,0.000925
529.2,0.001331,529.2,0.001278,529.2,0.002379,529.2,0.001186,529.2,0.000428,529.2,0.011194,529.2,0.000891,529.2,0.000268,529.2,0.001068
530,0.000992,530,0.001222,530,0.002116,530,0.001382,530,0.000663,530,0.011453,530,0.000933,530,0.000322,530,0.000864
530.8,0.000893,530.8,0.001653,530.8,0.002318,530.8,0.000888,530.8,0.000939,530.8,0.01097,530.8,0.000485,530.8,0.000531,530.8,0.0013
531.7,0.000314,531.7,0.001851,531.7,0.00143,531.7,0.00093,531.7,0.000571,531.7,0.009862,531.7,0.000205,531.7,-4.19E-05,531.7,0.000953
532.5,0.000569,532.5,0.002389,532.5,0.001533,532.5,0.00102,532.5,0.000472,532.5,0.010402,532.5,0.000463,532.5,0.000364,532.5,0.001159
533.3,0.000466,533.3,0.002351,533.3,0.001731,533.3,0.0012,533.3,0.000352,533.3,0.009999,533.3,1.50E-06,533.3,0.000179,533.3,0.001081
534.1,0.000212,534.1,0.002112,534.1,0.001997,534.1,0.000913,534.1,0.000392,534.1,0.009739,534.1,-0.00026,534.1,0.000714,534.1,0.000683
534.9,0.00059,534.9,0.002149,534.9,0.002975,534.9,0.001121,534.9,0.001832,534.9,0.010156,534.9,0.000587,534.9,0.001619,534.9,0.001575
535.7,8.73E-05,535.7,0.001945,535.7,0.002606,535.7,0.001541,535.7,0.001654,535.7,0.010644,535.7,0.000528,535.7,0.001406,535.7,0.001121
536.5,0.000397,536.5,0.002357,536.5,0.003129,536.5,0.002391,536.5,0.002342,536.5,0.011345,536.5,0.001447,536.5,0.001741,536.5,0.001433
537.3,-0.00011,537.3,0.001924,537.3,0.002577,537.3,0.001301,537.3,0.00151,537.3,0.010636,537.3,0.000571,537.3,0.000838,537.3,0.00076
538.2,0.00036,538.2,0.00137,538.2,0.00266,538.2,0.00064,538.2,0.001285,538.2,0.010311,538.2,0.000594,538.2,0.000679,538.2,0.000666
539,0.000418,539,0.001501,539,0.002707,539,0.000877,539,0.001101,539,0.01038,539,0.000276,539,0.000581,539,0.001361
539.8,0.000729,539.8,0.002331,539.8,0.003035,539.8,0.001782,539.8,0.001344,539.8,0.010261,539.8,7.12E-05,539.8,0.001294,539.8,0.00157
540.6,7.97E-05,540.6,0.002567,540.6,0.003018,540.6,0.002029,540.6,0.001619,540.6,0.010176,540.6,0.000295,540.6,0.00127,540.6,0.001476
541.4,-0.00018,541.4,0.002397,541.4,0.002701,541.4,0.001366,541.4,0.001736,541.4,0.009999,541.4,5.74E-05,541.4,0.000956,541.4,0.001069
542.2,0.000156,542.2,0.002027,542.2,0.002412,542.2,0.001109,542.2,0.001947,542.2,0.009784,542.2,0.000174,542.2,0.000511,542.2,0.000883
543,0.001014,543,0.002319,543,0.002844,543,0.00161,543,0.002135,543,0.009558,543,0.000681,543,0.001303,543,0.001373
543.8,0.001271,543.8,0.002644,543.8,0.002672,543.8,0.001748,543.8,0.001627,543.8,0.009362,543.8,0.000816,543.8,0.001528,543.8,0.001651
544.7,0.000746,544.7,0.002489,544.7,0.003257,544.7,0.00195,544.7,0.001962,544.7,0.009708,544.7,0.00085,544.7,0.001808,544.7,0.001467
545.5,0.000905,545.5,0.002773,545.5,0.003961,545.5,0.00207,545.5,0.002876,545.5,0.01054,545.5,0.000873,545.5,0.00158,545.5,0.001733
546.3,0.000779,546.3,0.00227,546.3,0.004536,546.3,0.001933,546.3,0.003429,546.3,0.010065,546.3,0.000374,546.3,0.001381,546.3,0.001478
547.1,0.001486,547.1,0.002099,547.1,0.004201,547.1,0.001605,547.1,0.002577,547.1,0.010229,547.1,0.000286,547.1,0.000844,547.1,0.001688
547.9,0.000955,547.9,0.00212,547.9,0.003687,547.9,0.001416,547.9,0.002288,547.9,0.009988,547.9,-0.00019,547.9,0.000546,547.9,0.001927
548.7,0.00127,548.7,0.001949,548.7,0.003304,548.7,0.002257,548.7,0.002426,548.7,0.01073,548.7,0.000117,548.7,0.000763,548.7,0.002046
549.5,0.000965,549.5,0.001567,549.5,0.002852,549.5,0.002634,549.5,0.003223,549.5,0.010827,549.5,0.000377,549.5,0.000626,549.5,0.001458
550.4,0.000616,550.4,0.000872,550.4,0.002981,550.4,0.002363,550.4,0.003906,550.4,0.010405,550.4,0.000548,550.4,0.000767,550.4,0.001126
551.2,-0.00017,551.2,0.000561,551.2,0.002928,551.2,0.001751,551.2,0.004265,551.2,0.009737,551.2,0.000177,551.2,0.000458,551.2,0.000625
552,-0.00082,552,0.000538,552,0.003156,552,0.001641,552,0.004228,552,0.009058,552,-5.32E-05,552,0.000627,552,0.001075
552.8,-0.0005,552.8,0.001149,552.8,0.002466,552.8,0.001901,552.8,0.003542,552.8,0.009089,552.8,-0.00072,552.8,0.000821,552.8,0.0007
553.6,-2.16E-05,553.6,0.001286,553.6,0.002696,553.6,0.001902,553.6,0.004003,553.6,0.008834,553.6,-0.00054,553.6,0.000697,553.6,0.001159
554.4,0.000369,554.4,0.00166,554.4,0.002674,554.4,0.00217,554.4,0.004582,554.4,0.008752,554.4,-9.75E-05,554.4,0.001269,554.4,0.001973
555.2,0.000655,555.2,0.001015,555.2,0.002877,555.2,0.002685,555.2,0.005359,555.2,0.00821,555.2,0.000197,555.2,0.001052,555.2,0.002059
556,0.000861,556,0.001575,556,0.003112,556,0.002781,556,0.00621,556,0.009066,556,0.000564,556,0.001753,556,0.002291
556.9,0.000702,556.9,0.001848,556.9,0.003763,556.9,0.002504,556.9,0.00675,556.9,0.009515,556.9,-4.41E-05,556.9,0.001093,556.9,0.001678
557.7,0.00077,557.7,0.001928,557.7,0.004484,557.7,0.002645,557.7,0.007579,557.7,0.010112,557.7,5.31E-05,557.7,0.000945,557.7,0.002027
558.5,0.000229,558.5,0.001736,558.5,0.004544,558.5,0.002938,558.5,0.007408,558.5,0.009646,558.5,-0.00045,558.5,0.000739,558.5,0.001716
559.3,0.000262,559.3,0.001361,559.3,0.003879,559.3,0.003733,559.3,0.008587,559.3,0.00958,559.3,-0.00026,559.3,0.001062,559.3,0.001896
560.1,7.91E-05,560.1,0.001654,560.1,0.0039,560.1,0.00398,560.1,0.009314,560.1,0.009689,560.1,1.14E-05,560.1,0.001777,560.1,0.001849
560.9,-4.06E-05,560.9,0.001173,560.9,0.003973,560.9,0.004437,560.9,0.010559,560.9,0.009704,560.9,0.000292,560.9,0.001469,560.9,0.00171
561.7,0.0001,561.7,0.000872,561.7,0.005089,561.7,0.00455,561.7,0.010779,561.7,0.010176,561.7,0.000542,561.7,0.001023,561.7,0.00144
562.5,0.000574,562.5,0.001013,562.5,0.005774,562.5,0.005173,562.5,0.012227,562.5,0.010337,562.5,0.00109,562.5,0.000891,562.5,0.001665
563.4,0.001153,563.4,0.000909,563.4,0.005481,563.4,0.004838,563.4,0.012935,563.4,0.009974,563.4,0.001132,563.4,0.000947,563.4,0.001612
564.2,0.001036,564.2,0.000986,564.2,0.00521,564.2,0.005412,564.2,0.014133,564.2,0.009185,564.2,0.000824,564.2,0.001447,564.2,0.001588
565,0.001086,565,0.001138,565,0.005055,565,0.005336,565,0.014671,565,0.009349,565,0.000756,565,0.001231,565,0.001223
565.8,-5.67E-05,565.8,0.000849,565.8,0.005372,565.8,0.005612,565.8,0.015894,565.8,0.009375,565.8,2.14E-06,565.8,0.00085,565.8,0.001033
566.6,0.000459,566.6,0.001133,566.6,0.005205,566.6,0.005881,566.6,0.017517,566.6,0.009372,566.6,0.000302,566.6,0.001053,566.6,0.00116
567.4,0.000185,567.4,0.00039,567.4,0.004954,567.4,0.006264,567.4,0.018642,567.4,0.009124,567.4,-0.00013,567.4,0.001099,567.4,0.001101
568.2,0.001308,568.2,0.001097,568.2,0.005228,568.2,0.007268,568.2,0.020332,568.2,0.009716,568.2,0.000962,568.2,0.001505,568.2,0.002068
569,0.000549,569,0.000419,569,0.005174,569,0.007231,569,0.021013,569,0.009711,569,0.000515,569,0.00064,569,0.00163
569.9,3.65E-05,569.9,0.000198,569.9,0.005488,569.9,0.007995,569.9,0.022388,569.9,0.009948,569.9,0.000552,569.9,0.000689,569.9,0.001716
570.7,-0.00066,570.7,-0.00011,570.7,0.006397,570.7,0.00841,570.7,0.022998,570.7,0.009265,570.7,-0.00035,570.7,0.000264,570.7,0.000957
571.5,-0.00021,571.5,0.00012,571.5,0.006981,571.5,0.009082,571.5,0.022751,571.5,0.008977,571.5,-0.00014,571.5,0.001251,571.5,0.001015
572.3,-0.00025,572.3,0.000897,572.3,0.007654,572.3,0.00999,572.3,0.022677,572.3,0.008783,572.3,9.19E-05,572.3,0.001583,572.3,0.001578
573.1,0.000157,573.1,0.000777,573.1,0.007982,573.1,0.011089,573.1,0.021986,573.1,0.009575,573.1,0.001143,573.1,0.001763,573.1,0.00209
573.9,0.000474,573.9,0.00154,573.9,0.009138,573.9,0.012599,573.9,0.022156,573.9,0.009824,573.9,0.001674,573.9,0.001554,573.9,0.002355
574.7,0.000768,574.7,0.001613,574.7,0.009693,574.7,0.012824,574.7,0.020607,574.7,0.009688,574.7,0.001379,574.7,0.001282,574.7,0.001936
575.5,0.001139,575.5,0.001826,575.5,0.009811,575.5,0.012929,575.5,0.018615,575.5,0.009507,575.5,0.001014,575.5,0.001488,575.5,0.001829
576.4,0.000641,576.4,0.001996,576.4,0.010054,576.4,0.013877,576.4,0.016874,576.4,0.009945,576.4,0.001063,576.4,0.001449,576.4,0.002933
577.2,0.000656,577.2,0.001691,577.2,0.010709,577.2,0.014204,577.2,0.015402,577.2,0.00957,577.2,0.00128,577.2,0.00172,577.2,0.002923
578,0.000623,578,0.002034,578,0.01214,578,0.015811,578,0.015394,578,0.00946,578,0.001841,578,0.001883,578,0.003076
578.8,0.000163,578.8,0.001489,578.8,0.012284,578.8,0.015695,578.8,0.013449,578.8,0.00887,578.8,0.000839,578.8,0.00136,578.8,0.001797
579.6,0.000117,579.6,0.001673,579.6,0.012615,579.6,0.016991,579.6,0.01278,579.6,0.009032,579.6,0.000663,579.6,0.001337,579.6,0.001652
580.4,0.000357,580.4,0.001369,580.4,0.012603,580.4,0.017841,580.4,0.011302,580.4,0.009089,580.4,0.00029,580.4,0.000854,580.4,0.001916
581.2,0.001054,581.2,0.001663,581.2,0.014323,581.2,0.019595,581.2,0.01171,581.2,0.009907,581.2,0.000855,581.2,0.001234,581.2,0.002743
582.1,0.00106,582.1,0.001511,582.1,0.015882,582.1,0.021372,582.1,0.010721,582.1,0.009942,582.1,0.001123,582.1,0.000823,582.1,0.002823
582.9,0.000419,582.9,0.00116,582.9,0.016993,582.9,0.022496,582.9,0.009988,582.9,0.009133,582.9,0.000666,582.9,0.001302,582.9,0.002652
583.7,0.000107,583.7,0.000726,583.7,0.017502,583.7,0.024252,583.7,0.008847,583.7,0.008096,583.7,0.000346,583.7,0.001523,583.7,0.002086
584.5,0.000162,584.5,0.000175,584.5,0.01818,584.5,0.026817,584.5,0.008049,584.5,0.007665,584.5,2.93E-05,584.5,0.001307,584.5,0.001975
585.3,-1.13E-05,585.3,0.00056,585.3,0.019694,585.3,0.030406,585.3,0.00672,585.3,0.007578,585.3,0.000343,585.3,0.000715,585.3,0.001749
586.1,0.000265,586.1,0.000744,586.1,0.02198,586.1,0.034545,586.1,0.006215,586.1,0.0081,586.1,0.000956,586.1,0.000561,586.1,0.002474
586.9,0.000479,586.9,0.001565,586.9,0.024655,586.9,0.037919,586.9,0.00614,586.9,0.008459,586.9,0.001568,586.9,0.000958,586.9,0.00287
587.7,0.001417,587.7,0.001645,587.7,0.027757,587.7,0.041341,587.7,0.006866,587.7,0.008935,587.7,0.00143,587.7,0.00166,587.7,0.003116
588.5,0.001523,588.5,0.001232,588.5,0.030608,588.5,0.044642,588.5,0.006396,588.5,0.008878,588.5,0.001266,588.5,0.001909,588.5,0.002663
589.2,0.000478,589.2,0.000199,589.2,0.033295,589.2,0.047402,589.2,0.00527,589.2,0.007615,589.2,0.000122,589.2,0.001015,589.2,0.002159
590,-0.00012,590,-0.00019,590,0.036846,590,0.049351,590,0.003948,590,0.007114,590,0.000637,590,0.00099,590,0.002186
590.7,0.000516,590.7,0.000871,590.7,0.042138,590.7,0.050479,590.7,0.004249,590.7,0.007439,590.7,0.000897,590.7,0.001568,590.7,0.003291
591.5,0.001402,591.5,0.001684,591.5,0.048323,591.5,0.049517,591.5,0.004658,591.5,0.008018,591.5,0.00171,591.5,0.002469,591.5,0.003966
592.2,0.001207,592.2,0.002042,592.2,0.05443,592.2,0.047602,592.2,0.004435,592.2,0.008072,592.2,0.0012,592.2,0.0022,592.2,0.003922
593,0.000848,593,0.001008,593,0.061256,593,0.043198,593,0.003047,593,0.007335,593,0.000895,593,0.001467,593,0.003083
593.7,0.000661,593.7,0.000718,593.7,0.070025,593.7,0.039375,593.7,0.002238,593.7,0.007083,593.7,0.000634,593.7,0.000989,593.7,0.003011
594.5,0.001355,594.5,0.001054,594.5,0.08246,594.5,0.036056,594.5,0.002407,594.5,0.007555,594.5,0.001165,594.5,0.00147,594.5,0.003402
595.2,0.000714,595.2,0.00101,595.2,0.095489,595.2,0.032121,595.2,0.002093,595.2,0.006984,595.2,0.001163,595.2,0.001223,595.2,0.003852
596,0.001115,596,0.001921,596,0.111411,596,0.028948,596,0.003049,596,0.007713,596,0.001589,596,0.002108,596,0.004402
596.7,0.001197,596.7,0.001821,596.7,0.126269,596.7,0.024127,596.7,0.002782,596.7,0.007482,596.7,0.001353,596.7,0.001684,596.7,0.004465
597.5,0.001617,597.5,0.001668,597.5,0.145821,597.5,0.021249,597.5,0.002806,597.5,0.008046,597.5,0.001443,597.5,0.002123,597.5,0.00437
598.2,0.001398,598.2,0.000889,598.2,0.166163,598.2,0.017891,598.2,0.001996,598.2,0.007398,598.2,0.001501,598.2,0.001592,598.2,0.004619
599,0.000552,599,0.000283,599,0.191945,599,0.016032,599,0.001633,599,0.007249,599,0.001254,599,0.00202,599,0.004883
599.7,0.000769,599.7,0.000886,599.7,0.219025,599.7,0.014403,599.7,0.001942,599.7,0.007358,599.7,0.001123,599.7,0.001946,599.7,0.004652
600.5,0.000396,600.5,0.0005,600.5,0.247121,600.5,0.012849,600.5,0.001058,600.5,0.007085,600.5,0.00128,600.5,0.002102,600.5,0.004653
601.2,0.000565,601.2,0.001386,601.2,0.276218,601.2,0.011808,601.2,0.001582,601.2,0.006976,601.2,0.001742,601.2,0.00233,601.2,0.00539
602,6.25E-05,602,0.001152,602,0.306098,602,0.011253,602,0.001136,602,0.006543,602,0.001782,602,0.002298,602,0.00623
602.7,5.52E-05,602.7,0.001465,602.7,0.340661,602.7,0.010625,602.7,0.001208,602.7,0.006917,602.7,0.001506,602.7,0.002245,602.7,0.005737
603.4,0.000595,603.4,0.000831,603.4,0.377315,603.4,0.009994,603.4,0.000637,603.4,0.007072,603.4,0.001431,603.4,0.001767,603.4,0.005208
604.2,0.001025,604.2,0.001081,604.2,0.414179,604.2,0.008724,604.2,0.00102,604.2,0.007137,604.2,0.001851,604.2,0.001492,604.2,0.006049
604.9,0.001443,604.9,0.001481,604.9,0.444112,604.9,0.008961,604.9,0.001412,604.9,0.007153,604.9,0.001836,604.9,0.001651,604.9,0.007266
605.7,0.000576,605.7,0.001251,605.7,0.467748,605.7,0.007923,605.7,0.001159,605.7,0.007021,605.7,0.001875,605.7,0.001721,605.7,0.007731
606.4,0.000442,606.4,0.001137,606.4,0.486426,606.4,0.007919,606.4,0.001474,606.4,0.007464,606.4,0.002132,606.4,0.002153,606.4,0.007309
607.2,-0.00012,607.2,0.001238,607.2,0.502537,607.2,0.006721,607.2,0.00141,607.2,0.007206,607.2,0.002264,607.2,0.001789,607.2,0.007539
607.9,0.0005,607.9,0.001183,607.9,0.509841,607.9,0.006254,607.9,0.001554,607.9,0.006949,607.9,0.002435,607.9,0.002662,607.9,0.007725
608.7,0.000817,608.7,0.001534,608.7,0.50704,608.7,0.005996,608.7,0.001445,608.7,0.006828,608.7,0.002534,608.7,0.00309,608.7,0.008304
609.4,0.001266,609.4,0.001381,609.4,0.489553,609.4,0.005688,609.4,0.001642,609.4,0.006942,609.4,0.002741,609.4,0.003226,609.4,0.008558
610.2,0.000966,610.2,0.001209,610.2,0.461847,610.2,0.005278,610.2,0.000824,610.2,0.006801,610.2,0.00253,610.2,0.002082,610.2,0.008724
610.9,0.000257,610.9,0.000965,610.9,0.428261,610.9,0.004147,610.9,0.000601,610.9,0.006585,610.9,0.002126,610.9,0.002091,610.9,0.00874
611.7,0.000446,611.7,0.00125,611.7,0.392717,611.7,0.003795,611.7,0.000581,611.7,0.006388,611.7,0.002252,611.7,0.002178,611.7,0.008765
612.4,0.001049,612.4,0.001359,612.4,0.361455,612.4,0.003803,612.4,0.001344,612.4,0.006825,612.4,0.002404,612.4,0.002982,612.4,0.009962
613.2,0.001193,613.2,0.001099,613.2,0.330859,613.2,0.003139,613.2,0.001369,613.2,0.006739,613.2,0.002611,613.2,0.002404,613.2,0.010895
613.9,0.001341,613.9,0.000796,613.9,0.30534,613.9,0.002973,613.9,0.000918,613.9,0.006741,613.9,0.002896,613.9,0.002826,613.9,0.012541
614.7,0.001465,614.7,0.001273,614.7,0.282558,614.7,0.002489,614.7,0.000762,614.7,0.006247,614.7,0.003336,614.7,0.003158,614.7,0.013072
615.4,0.001887,615.4,0.001037,615.4,0.263801,615.4,0.0028,615.4,-0.00023,615.4,0.005639,615.4,0.003376,615.4,0.003642,615.4,0.013895
616.2,0.001762,616.2,0.000477,616.2,0.249934,616.2,0.002123,616.2,-0.00029,616.2,0.00551,616.2,0.003022,616.2,0.003682,616.2,0.013872
616.9,0.001553,616.9,0.000251,616.9,0.239465,616.9,0.00183,616.9,8.54E-05,616.9,0.005088,616.9,0.00327,616.9,0.003665,616.9,0.014896
617.7,0.00172,617.7,0.000543,617.7,0.23092,617.7,0.00165,617.7,0.00121,617.7,0.005791,617.7,0.003743,617.7,0.003844,617.7,0.016257
618.4,0.001859,618.4,0.000924,618.4,0.221863,618.4,0.001942,618.4,0.001982,618.4,0.006262,618.4,0.004304,618.4,0.004099,618.4,0.017851
619.1,0.001387,619.1,7.61E-05,619.1,0.21061,619.1,0.001593,619.1,0.001117,619.1,0.006197,619.1,0.003684,619.1,0.003442,619.1,0.018773
619.9,0.001381,619.9,-0.00027,619.9,0.199838,619.9,0.001546,619.9,0.000175,619.9,0.005587,619.9,0.003431,619.9,0.003865,619.9,0.020115
620.6,0.00157,620.6,-0.0008,620.6,0.187461,620.6,0.001615,620.6,-0.00038,620.6,0.005035,620.6,0.003425,620.6,0.00363,620.6,0.022013
621.4,0.003325,621.4,8.83E-05,621.4,0.174942,621.4,0.002257,621.4,0.0004,621.4,0.005643,621.4,0.00384,621.4,0.004387,621.4,0.024404
622.1,0.003159,622.1,0.000975,622.1,0.15941,622.1,0.002399,622.1,0.00077,622.1,0.006297,622.1,0.004728,622.1,0.004202,622.1,0.026385
622.9,0.003184,622.9,0.001577,622.9,0.144729,622.9,0.002413,622.9,0.000806,622.9,0.006716,622.9,0.004585,622.9,0.004789,622.9,0.027561
623.6,0.003084,623.6,0.001959,623.6,0.129093,623.6,0.002418,623.6,0.00101,623.6,0.007243,623.6,0.004991,623.6,0.005662,623.6,0.029696
624.4,0.003514,624.4,0.00131,624.4,0.113864,624.4,0.001969,624.4,0.001092,624.4,0.006828,624.4,0.004792,624.4,0.005669,624.4,0.03169
625.1,0.003406,625.1,0.001363,625.1,0.09867,625.1,0.001137,625.1,0.000907,625.1,0.006277,625.1,0.005555,625.1,0.005555,625.1,0.035061
625.9,0.002822,625.9,0.001054,625.9,0.085841,625.9,0.001194,625.9,0.00062,625.9,0.00585,625.9,0.006138,625.9,0.005435,625.9,0.03887
626.6,0.002904,626.6,0.001637,626.6,0.074013,626.6,0.001655,626.6,0.000402,626.6,0.00573,626.6,0.006333,626.6,0.006086,626.6,0.043478
627.4,0.002587,627.4,0.001311,627.4,0.063974,627.4,0.001624,627.4,7.96E-05,627.4,0.005535,627.4,0.006378,627.4,0.006171,627.4,0.047758
628.1,0.002498,628.1,0.001016,628.1,0.053874,628.1,0.001065,628.1,-0.00022,628.1,0.005255,628.1,0.00578,628.1,0.005583,628.1,0.05225
628.9,0.002401,628.9,0.00042,628.9,0.046205,628.9,2.78E-05,628.9,-0.00024,628.9,0.004871,628.9,0.006006,628.9,0.005152,628.9,0.057353
629.6,0.004004,629.6,0.000659,629.6,0.03952,629.6,0.001142,629.6,0.000519,629.6,0.006284,629.6,0.007421,629.6,0.006167,629.6,0.064401
630.4,0.004337,630.4,0.001242,630.4,0.03481,630.4,0.001191,630.4,0.000659,630.4,0.006374,630.4,0.008316,630.4,0.00699,630.4,0.071753
631.1,0.004883,631.1,0.00151,631.1,0.031317,631.1,0.001933,631.1,0.000595,631.1,0.006965,631.1,0.009377,631.1,0.007651,631.1,0.080649
631.9,0.00386,631.9,0.000569,631.9,0.027457,631.9,0.000482,631.9,-0.00028,631.9,0.005691,631.9,0.00854,631.9,0.007038,631.9,0.089135
632.6,0.003751,632.6,-0.00014,632.6,0.023108,632.6,-0.00026,632.6,-0.00069,632.6,0.00482,632.6,0.009302,632.6,0.006613,632.6,0.099031
633.4,0.003705,633.4,5.55E-05,633.4,0.020564,633.4,-0.00042,633.4,-3.99E-05,633.4,0.004872,633.4,0.009622,633.4,0.007296,633.4,0.108778
634.1,0.003524,634.1,0.000385,634.1,0.018789,634.1,-0.00015,634.1,0.000521,634.1,0.005073,634.1,0.010017,634.1,0.007933,634.1,0.120592
634.8,0.003888,634.8,0.001282,634.8,0.017948,634.8,0.000447,634.8,0.000902,634.8,0.00588,634.8,0.01128,634.8,0.009186,634.8,0.134433
635.6,0.004019,635.6,0.000543,635.6,0.01563,635.6,-0.00015,635.6,-0.00019,635.6,0.005471,635.6,0.011407,635.6,0.009043,635.6,0.150591
636.3,0.005777,636.3,0.001538,636.3,0.015634,636.3,0.000693,636.3,0.000464,636.3,0.006005,636.3,0.013655,636.3,0.010335,636.3,0.168264
637.1,0.005941,637.1,0.000313,637.1,0.014679,637.1,0.000611,637.1,-3.83E-05,637.1,0.005485,637.1,0.013536,637.1,0.010623,637.1,0.185896
637.8,0.005931,637.8,0.000931,637.8,0.014484,637.8,0.001547,637.8,0.00065,637.8,0.005726,637.8,0.01515,637.8,0.011763,637.8,0.20393
638.6,0.006018,638.6,0.000463,638.6,0.012582,638.6,0.001178,638.6,-0.00056,638.6,0.005828,638.6,0.015713,638.6,0.012282,638.6,0.223758
639.3,0.006646,639.3,0.000967,639.3,0.012057,639.3,0.001506,639.3,0.000281,639.3,0.006547,639.3,0.017566,639.3,0.013223,639.3,0.246739
640.1,0.007322,640.1,0.000945,640.1,0.010755,640.1,0.000726,640.1,0.000238,640.1,0.006031,640.1,0.017773,640.1,0.013831,640.1,0.271768
640.8,0.007902,640.8,0.001137,640.8,0.010442,640.8,0.00124,640.8,0.000856,640.8,0.005791,640.8,0.018947,640.8,0.014394,640.8,0.29775
641.6,0.008129,641.6,0.001358,641.6,0.009501,641.6,0.001121,641.6,0.000525,641.6,0.00562,641.6,0.019611,641.6,0.014909,641.6,0.323035
642.3,0.00835,642.3,0.001468,642.3,0.009193,642.3,0.001423,642.3,6.58E-05,642.3,0.005777,642.3,0.02186,642.3,0.015377,642.3,0.349083
643.1,0.008457,643.1,0.00108,643.1,0.008709,643.1,0.000827,643.1,-0.00048,643.1,0.005464,643.1,0.023781,643.1,0.016271,643.1,0.37477
643.8,0.00922,643.8,0.000707,643.8,0.008369,643.8,0.001126,643.8,-0.00031,643.8,0.005288,643.8,0.025591,643.8,0.017086,643.8,0.400748
644.6,0.009857,644.6,0.000915,644.6,0.007823,644.6,0.001164,644.6,-4.05E-05,644.6,0.005586,644.6,0.026674,644.6,0.018446,644.6,0.427992
645.3,0.009879,645.3,0.000444,645.3,0.006711,645.3,0.001003,645.3,0.000159,645.3,0.005266,645.3,0.027714,645.3,0.019139,645.3,0.453319
646.1,0.010087,646.1,0.000906,646.1,0.006495,646.1,0.000965,646.1,0.000221,646.1,0.005639,646.1,0.028605,646.1,0.01997,646.1,0.476888
646.8,0.010139,646.8,-0.00011,646.8,0.006259,646.8,0.000452,646.8,0.000238,646.8,0.005653,646.8,0.029973,646.8,0.020677,646.8,0.495885
647.6,0.01045,647.6,0.000855,647.6,0.006108,647.6,0.000752,647.6,0.000504,647.6,0.005984,647.6,0.030915,647.6,0.021539,647.6,0.515591
