Red:Wavelength(nm),Red:Intensity,Blue:Wavelength(nm),Blue:Intensity,Orange:Wavelength(nm),Orange:Intensity,Yellow:Wavelength(nm),Yellow:Intensity,Green:Wavelength(nm),Green:Intensity,White Blue:Wavelength(nm),White Blue:Intensity,Red 2:Wavelength(nm),Red 2:Intensity,Red 3:Wavelength(nm),Red 3:Intensity,Red 4:Wavelength(nm),Red 4:Intensity
410.1,0.000224,410.1,0.003997,410.1,0.000767,410.1,0.000403,410.1,0.000503,410.1,0.97906,410.1,0.000173,410.1,2.42E-05,410.1,0.000791
410.9,0.000191,410.9,0.003946,410.9,0.000466,410.9,0.000554,410.9,-0.00032,410.9,0.979057,410.9,7.30E-05,410.9,-0.00025,410.9,0.000155
411.7,0.000774,411.7,0.004462,411.7,0.000306,411.7,3.16E-05,411.7,-0.00026,411.7,0.979061,411.7,0.000251,411.7,0.000648,411.7,-0.00021
412.5,0.000785,412.5,0.004815,412.5,0.001015,412.5,0.000419,412.5,-2.82E-05,412.5,0.979064,412.5,0.000137,412.5,0.001075,412.5,-8.66E-06
413.4,0.000375,413.4,0.00499,413.4,0.001344,413.4,0.000431,413.4,0.000528,413.4,0.979065,413.4,0.000401,413.4,0.001288,413.4,0.000578
414.2,0.000364,414.2,0.004665,414.2,0.001492,414.2,0.000801,414.2,0.000402,414.2,0.979061,414.2,0.000193,414.2,0.001,414.2,0.001332
415,-0.00029,415,0.004136,415,0.000995,415,0.000456,415,8.97E-05,415,0.979061,415,0.000118,415,0.000818,415,0.001264
415.9,0.000874,415.9,0.005271,415.9,0.000925,415.9,0.001168,415.9,7.29E-05,415.9,0.979071,415.9,0.000205,415.9,0.000962,415.9,0.001671
416.7,0.001442,416.7,0.005749,416.7,0.00074,416.7,0.001447,416.7,0.000602,416.7,0.979074,416.7,0.000546,416.7,0.00132,416.7,0.001503
417.5,0.002188,417.5,0.006472,417.5,0.000577,417.5,0.001723,417.5,0.000669,417.5,0.979077,417.5,0.000932,417.5,0.001457,417.5,0.001578
418.4,0.0012,418.4,0.005676,418.4,0.000479,418.4,0.00067,418.4,0.000855,418.4,0.979072,418.4,0.000466,418.4,0.001556,418.4,0.00102
419.2,-0.00016,419.2,0.004825,419.2,0.00043,419.2,0.000376,419.2,-0.00021,419.2,0.979067,419.2,-0.00029,419.2,0.001107,419.2,0.000717
420,-0.00037,420,0.005513,420,0.001242,420,0.00079,420,-0.00036,420,0.978552,420,-0.00021,420,0.001188,420,0.001045
420.8,-8.92E-05,420.8,0.005431,420.8,0.001355,420.8,0.001572,420.8,-0.00069,420.8,0.963894,420.8,0.00015,420.8,0.001032,420.8,0.000907
421.7,0.000431,421.7,0.006536,421.7,0.001869,421.7,0.001343,421.7,-6.73E-05,421.7,0.924767,421.7,0.00069,421.7,0.001371,421.7,0.000771
422.5,0.000424,422.5,0.006398,422.5,0.001037,422.5,0.001083,422.5,9.66E-05,422.5,0.861323,422.5,0.000346,422.5,0.000983,422.5,0.000566
423.3,0.000243,423.3,0.006329,423.3,0.000675,423.3,0.000547,423.3,0.000398,423.3,0.789543,423.3,-9.48E-06,423.3,0.000925,423.3,0.000693
424.2,0.000623,424.2,0.00637,424.2,0.000319,424.2,0.000635,424.2,0.000677,424.2,0.718868,424.2,0.000253,424.2,0.000925,424.2,0.001074
425,0.000635,425,0.006228,425,0.000997,425,0.000768,425,0.000556,425,0.653018,425,0.000149,425,0.001212,425,0.001103
425.8,0.001154,425.8,0.007769,425.8,0.002183,425.8,0.00087,425.8,0.000854,425.8,0.589531,425.8,0.00081,425.8,0.001754,425.8,0.00187
