,mass A,,
t,x,y,
2.459,3.953E-2,-9.034E-2
2.476,3.953E-2,-9.034E-2
2.493,3.953E-2,-9.033E-2
2.510,3.953E-2,-9.033E-2
2.527,3.957E-2,-9.028E-2
2.544,3.957E-2,-9.029E-2
2.560,3.956E-2,-9.029E-2
2.577,3.955E-2,-9.030E-2
2.594,3.956E-2,-9.030E-2
2.611,3.953E-2,-9.033E-2
2.628,3.952E-2,-9.033E-2
2.645,3.953E-2,-9.033E-2
2.662,3.953E-2,-9.033E-2
2.678,3.953E-2,-9.033E-2
2.695,3.955E-2,-9.033E-2
2.712,3.954E-2,-9.032E-2
2.729,3.954E-2,-9.034E-2
2.746,3.955E-2,-9.032E-2
2.763,3.955E-2,-9.032E-2
2.779,3.958E-2,-9.032E-2
2.796,3.958E-2,-9.032E-2
2.813,3.958E-2,-9.032E-2
2.830,3.959E-2,-9.032E-2
2.847,3.957E-2,-9.033E-2
2.864,3.957E-2,-9.033E-2
2.881,3.955E-2,-9.037E-2
2.897,3.955E-2,-9.035E-2
2.914,3.956E-2,-9.036E-2
2.931,3.956E-2,-9.036E-2
2.948,3.956E-2,-9.036E-2
2.965,3.957E-2,-9.036E-2
2.982,3.956E-2,-9.033E-2
2.998,3.956E-2,-9.034E-2
3.015,3.955E-2,-9.035E-2
3.032,3.964E-2,-9.031E-2
3.049,3.958E-2,-9.030E-2
3.066,3.956E-2,-9.032E-2
3.083,3.957E-2,-9.032E-2
3.099,3.957E-2,-9.033E-2
3.116,3.956E-2,-9.033E-2
3.133,3.956E-2,-9.033E-2
3.150,3.956E-2,-9.032E-2
3.167,3.957E-2,-9.032E-2
3.184,3.957E-2,-9.033E-2
3.201,3.957E-2,-9.033E-2
3.217,3.957E-2,-9.033E-2
3.234,3.958E-2,-9.033E-2
3.251,3.954E-2,-9.032E-2
3.268,3.957E-2,-9.030E-2
3.285,3.958E-2,-9.031E-2
3.302,3.962E-2,-9.029E-2
3.318,3.959E-2,-9.029E-2
3.335,3.967E-2,-9.018E-2
3.352,3.972E-2,-9.016E-2
3.369,3.972E-2,-9.015E-2
3.386,3.976E-2,-9.009E-2
3.403,3.977E-2,-9.010E-2
3.420,3.975E-2,-9.005E-2
3.436,3.978E-2,-9.007E-2
3.453,3.981E-2,-9.003E-2
3.470,3.982E-2,-9.002E-2
3.487,3.981E-2,-9.004E-2
3.504,3.983E-2,-8.999E-2
3.521,3.983E-2,-8.998E-2
3.537,3.982E-2,-8.995E-2
3.554,3.981E-2,-8.994E-2
3.571,3.981E-2,-8.994E-2
3.588,3.977E-2,-8.997E-2
3.605,3.977E-2,-8.996E-2
3.622,3.977E-2,-8.996E-2
3.639,3.976E-2,-8.994E-2
3.655,3.976E-2,-8.994E-2
3.672,3.981E-2,-8.994E-2
3.689,3.980E-2,-8.991E-2
3.706,3.983E-2,-8.988E-2
3.723,3.979E-2,-8.988E-2
3.740,3.981E-2,-8.982E-2
3.756,3.990E-2,-8.980E-2
3.773,3.994E-2,-8.979E-2
3.790,3.993E-2,-8.979E-2
3.807,4.005E-2,-8.974E-2
3.824,4.054E-2,-8.980E-2
3.841,4.201E-2,-9.020E-2
3.858,4.538E-2,-9.074E-2
3.874,5.185E-2,-9.139E-2
3.891,6.088E-2,-9.242E-2
3.908,7.012E-2,-9.357E-2
3.925,8.147E-2,-9.421E-2
3.942,9.306E-2,-9.444E-2
3.959,0.105,-9.396E-2
3.975,0.116,-9.319E-2
3.992,0.125,-9.197E-2
4.009,0.133,-9.075E-2
4.026,0.138,-8.991E-2
4.043,0.141,-8.987E-2
4.060,0.142,-8.976E-2
4.077,0.140,-9.011E-2
4.093,0.137,-9.069E-2
4.110,0.130,-9.191E-2
4.127,0.121,-9.284E-2
4.144,0.111,-9.404E-2
4.161,9.950E-2,-9.462E-2
4.178,8.782E-2,-9.469E-2
